WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,BLDG_GFA,BTTM_AREA,BLDG_STTS_NM,SPFPTG_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,VHCL_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
230201015839913,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,304.0,82.0,사용중,공동주택,,,0,0,0,110,수,관악소방서,봉천119안전센터,20230201002330,20230201002535,20230201002844,20230201002935,20230201002935,20230201010230,000189,000051,서울특별시,관악구,3,0,0.0,작동기기,작동기기,부주의,기타(부주의),"침구,직물류","기타(침구,직물류)",,,,,주거,공동주택,다세대주택,4.0,0.0,N,N,N,,,,,5.3,0~4 m/s,서,87.0
230130162758987,"자동차,철도차량",,,,,,,,,,,전기,직류 12V 이하(배터리) 전원,0,0,0,52800,월,광주소방서,오포119안전센터,20230130103721,20230130103926,20230130104302,20230130105104,20230130105104,20230130115115,000216,000482,경기도,광주시,11,0,0.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,"전기,전자","전기, 전자기기 내부배선",배선/배선기구,전기기기용 전선/코드,,,"자동차,철도차량",건설기계,기타 건설기계,,,N,N,N,공지,앞좌석,,,4.0,0~4 m/s,동,30.0
230124140352722,기타(쓰레기 화재등),,,,,,,,,,,,,0,0,0,229,화,김포소방서,양촌119안전센터,20230124093606,20230124093728,20230124094339,20230124094722,20230124102451,20230124125227,000371,002472,경기도,김포시,6,4,0.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치","종이,목재,건초등",종이,,,,,기타,야외,야적장,,3.0,N,N,N,,,,,-12.3,0~4 m/s,북서,35.0
230123220454920,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,0,524.0,201.0,사용중,공동주택,,,0,0,0,1,월,성북소방서,종암119안전센터,20230123210057,20230123210157,20230123210432,20230123211732,20230123211732,20230123214032,000155,000780,서울특별시,성북구,1,1,0.0,작동기기,작동기기,전기적 요인,과부하/과전류,합성수지,"플라스틱, PVC, 비닐, 장판",,,,,주거,공동주택,기타 공동주택,2.0,0.0,N,N,N,,,,,-3.4,0~4 m/s,북서,61.0
230124204840903,"자동차,철도차량",,,,,,,,,,,,,0,0,0,60,화,강서소방서,화곡119안전센터,20230124184518,20230124184540,20230124184900,20230124185000,20230124190600,20230124194600,000200,001020,서울특별시,강서구,4,1,0.0,미상(발화원인),미상(발화원인),미상,미상,"종이,목재,건초등",종이,,,,,"자동차,철도차량",자동차,화물자동차,,,N,N,N,일반도로,적재함,,,-14.3,0~4 m/s,북서,50.0
230123192354673,"건축,구조물",양식(옥),철골조,샌드위치패널,1.0,2,0,368.0,250.0,사용중,근린생활시설,,,0,0,0,254251,월,충주소방서,서충주119안전센터,20230123143412,20230123143443,20230123144404,20230123150509,20230123164433,20230123190204,000561,007229,충청북도,충주시,9,5,0.0,미상(발화원인),미상(발화원인),미상,미상,미상,미상,미상,미상,기타,기타,생활서비스,음식점,한식,1.0,0.0,N,N,N,,,,,5.0,0~4 m/s,남서,74.0
230124162923374,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,11,1,13962.0,1238.0,사용중,,,,0,0,0,649,화,중부소방서,창선119안전센터,20230124135017,20230124135045,20230124135309,20230124140047,20230124140047,20230124151542,000144,000458,부산광역시,중구,0,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,아파트,1.0,5.0,N,Y,N,,,,,-4.9,NONE,남서,21.0
230131012554536,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,1,2402.0,424.0,사용중,공동주택,,,0,0,0,3267,월,구로소방서,고일119안전센터,20230130221856,20230130222100,20230130222400,20230130223200,20230130223500,20230131001500,000180,000660,서울특별시,구로구,1,1,0.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,합성수지,"플라스틱, PVC, 비닐, 장판",,,,,주거,공동주택,아파트,1.0,0.0,N,N,N,,,,,-1.9,0~4 m/s,남서,67.0
230131214220256,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,0,315.0,65.0,사용중,,,,0,0,0,75,화,강북소방서,번동119안전센터,20230131193757,20230131193900,20230131194100,20230131195200,20230131195200,20230131211000,000120,000660,서울특별시,강북구,1,1,0.0,"불꽃, 불티","불꽃, 불티",부주의,"기기(전기, 기계 등) 사용.설치부주의",기타,기타,,,,,생활서비스,음식점,한식,2.0,0.0,N,N,N,,,,,6.3,0~4 m/s,남,68.0
230131133447271,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,791.0,159.0,사용중,복합건축물,,,0,0,0,139,화,구로소방서,공단119안전센터,20230131121224,20230131121340,20230131121806,20230131121806,20230131121806,20230131130127,000266,000000,서울특별시,구로구,3,1,0.0,작동기기,작동기기,부주의,"기기(전기, 기계 등) 사용.설치부주의",가연성가스,부탄가스,,,,,생활서비스,일상서비스,고시원업,2.0,2.0,N,N,Y,,,,,5.9,0~4 m/s,남,48.0
230129044309605,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,8,2,16068.0,1633.0,사용중,근린생활시설,전기,380/220V이상 상용전원,0,0,0,1432,일,수원소방서,영통119안전센터,20230129020356,20230129020542,20230129020939,20230129022104,20230129022104,20230129041139,000237,000685,경기도,수원시 영통구,10,0,0.0,작동기기,작동기기,기계적 요인,"과열, 과부하","침구,직물류","기타(침구,직물류)",계절용 기기,전기패널,,,"판매,업무시설",일반업무,일반빌딩,8.0,0.0,N,Y,N,,,,,0.0,NONE,NONE,0.0
230131085952521,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,7,0,674.0,128.0,사용중,업무시설,가스,액화천연가스(LNG),0,0,0,334,화,부산진소방서,가야119안전센터,20230131080149,20230131080426,20230131080855,20230131081042,20230131081042,20230131084250,000269,000107,부산광역시,부산진구,4,2,0.0,작동기기,작동기기,부주의,음식물 조리중,식품,음식물,주방기기,가스렌지,,,"판매,업무시설",일반업무,오피스텔,6.0,1.0,N,N,N,,,,,-2.3,0~4 m/s,서,39.0
230120085823610,기타(쓰레기 화재등),,,,,,,,,,,,,0,0,0,550,금,해운대소방서,우동119안전센터,20230120075531,20230120075629,20230120075911,20230120080211,20230120084011,20230120084011,000162,002460,부산광역시,해운대구,1,1,0.0,작동기기,작동기기,전기적 요인,"누전,지락","전기,전자",전선피복,,,,,기타,야외,기타야외,,,N,N,N,,,,,2.6,0~4 m/s,남,63.0
230120043507425,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,0,659.0,225.0,사용중,공동주택,전기,직류 24V 이상(배터리) 전원,0,2,2,43959,금,송탄소방서,신장119안전센터,20230120014253,20230120014343,20230120015216,20230120020600,20230120022000,20230120041714,000513,001664,경기도,평택시,4,4,0.0,작동기기,작동기기,전기적 요인,미확인단락,"전기,전자",전자기기 부속품,생활기기,전동킥보드,기타,기타,주거,공동주택,다세대주택,1.0,247.0,N,N,N,,,,,3.4,0~4 m/s,남,88.0
230120202950802,"건축,구조물",조립식,기타 조,칼라피복철판,1.0,1,0,98.0,98.0,사용중,공장,전기,380/220V이상 상용전원,0,0,0,1369,금,의정부소방서,남면119안전센터,20230120135131,20230120135235,20230120140254,20230120140729,20230120140926,20230120173806,000619,000392,경기도,양주시,10,4,3.0,작동기기,작동기기,기계적 요인,"과열, 과부하",위험물등,기타(위험물등),산업장비,기타(산업장비),,,산업시설,공장시설,광업,1.0,0.0,N,N,N,,,,,-2.8,0~4 m/s,북,43.0
230120183629701,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,1,1,330.0,161.0,사용중,,,,0,0,0,4524,금,성주소방서,성주119안전센터,20230120160013,20230120160101,20230120160214,20230120161945,20230120162442,20230120171924,000073,001348,경상북도,성주군,16,16,0.0,미상(발화원인),미상(발화원인),미상,미상,미상,미상,,,,,기타서비스,기타건축물,기타 건축물,1.0,1.0,N,N,N,,,,,2.1,5~8 m/s,서,18.0
