WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,BLDG_GFA,BTTM_AREA,BLDG_STTS_NM,SPFPTG_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,VHCL_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
210105052933024,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,25.0,3,1,134207.0,0.0,사용중,공장,,,0,0,0,52380,화,함안소방서,군북119안전센터,20210105023035,20210105023116,20210105023900,20210105024544,20210105034145,20210105034145,000464,003765,경상남도,함안군,8,4,3.0,미상(발화원인),미상(발화원인),미상,미상,미상,미상,,,,,산업시설,공장시설,금속기계 및 기구공업,2.0,0.0,N,Y,N,,,,,-3.6,0~4 m/s,북서,87.0
210105205502754,"자동차,철도차량",,,,,,,,,,,유류,경유,0,0,0,6600,화,양양소방서,강현119안전센터,20210105191029,20210105191047,20210105191504,20210105192215,20210105192853,20210105195702,000257,000829,강원특별자치도,양양군,13,1,0.0,"불꽃, 불티","불꽃, 불티",부주의,"용접, 절단, 연마",위험물등,기계유,"차량, 선박부품","기타(차량,선박부품)",,,"자동차,철도차량",건설기계,굴삭기,,,N,N,N,주차장,엔진룸,,,-4.3,0~4 m/s,북서,10.0
210106051842116,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,12.0,13,3,8487.0,616.0,사용중,,,,0,0,0,59404,수,안양소방서,관양119안전센터,20210106025552,20210106025642,20210106030023,20210106031808,20210106033049,20210106045322,000221,001826,경기도,안양시 동안구,1,1,0.0,작동기기,작동기기,전기적 요인,미확인단락,"전기,전자","전기, 전자기기 기판",주방기기,김치냉장고,,,주거,공동주택,아파트,1.0,930.0,N,Y,N,,,,,-11.4,0~4 m/s,동,56.0
210104140245139,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,429.0,88.0,사용중,,,,0,0,0,30,월,도봉소방서,도봉119안전센터,20210104122956,20210104123205,20210104123600,20210104124500,20210104124500,20210104125600,000235,000540,서울특별시,도봉구,2,1,0.0,"마찰, 전도, 복사","마찰, 전도, 복사",부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,연립주택,2.0,0.0,N,N,N,,,,,-0.5,0~4 m/s,북동,39.0
210121134526876,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,3,1,402.0,106.0,사용중,,,,0,1,1,9920,목,분당소방서,수내119안전센터,20210121110423,20210121110518,20210121110745,20210121111300,20210121111555,20210121125016,000147,000490,경기도,성남시 분당구,3,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,"불씨,불꽃,화원방치",가구,소파,,,,,주거,단독주택,다가구주택(원룸포함),-1.0,0.0,N,N,N,,,,,6.0,0~4 m/s,남동,65.0
210123020247737,"건축,구조물",양식(옥),철근콘크리트조,비닐하우스,1.0,1,,240.0,240.0,사용중,,,,0,0,0,426,토,강릉소방서,내곡119안전센터,20210123002440,20210123002526,20210123003954,20210123004608,20210123005358,20210123011956,000868,000844,강원특별자치도,강릉시,13,12,10.0,작동기기,작동기기,부주의,"기기(전기, 기계 등) 사용.설치부주의",합성수지,"플라스틱, PVC, 비닐, 장판",,,,,산업시설,동식물시설,기타 동식물시설,1.0,0.0,N,N,N,,,,,5.8,0~4 m/s,남서,93.0
210121212923507,기타(쓰레기 화재등),,,,,,,,,,,전기,380/220V이상 상용전원,0,0,0,264,목,강진소방서,강진119안전센터,20210121200450,20210121200548,20210121201045,20210121201045,20210121201045,20210121214551,000297,000000,전라남도,강진군,7,7,4.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,배선/배선기구,전력공급용 전선,"전기,전자","전기, 전자기기 케이스",기타,도로,전봇대,,,N,N,N,,,,,8.5,0~4 m/s,동,93.0
210122123130492,"자동차,철도차량",,,,,,,,,,,전기,직류 12V 이하(배터리) 전원,0,0,0,602,금,김천소방서,양금119안전센터,20210122100309,20210122100350,20210122101003,20210122101158,20210122101258,20210122103856,000373,000175,경상북도,김천시,4,4,0.0,작동기기,작동기기,제품결함,기타(제품결함),합성수지,"플라스틱, PVC, 비닐, 장판","차량, 선박부품","기타(차량,선박부품)",,,"자동차,철도차량",자동차,승용자동차,,,N,N,N,주차장,기타차량위치,,,3.7,0~4 m/s,북동,100.0
210104145046494,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,3.0,1,0,0.0,0.0,사용중,,전기,380/220V이상 상용전원,0,0,0,4804,월,남부소방서,공단119안전센터,20210104110856,20210104111016,20210104111729,20210104112635,20210104113824,20210104131049,000433,001255,울산광역시,남구,9,5,0.0,작동기기,작동기기,부주의,기타(부주의),기타,기타,기타,기타,기타,기타,산업시설,공장시설,그 밖의 공업,1.0,0.0,N,N,N,,,,,-0.6,0~4 m/s,서,25.0
210105133059395,기타(쓰레기 화재등),,,,,,,,,,,고체연료,나무,0,0,0,12,화,홍천소방서,홍천119안전센터,20210105112501,20210105112548,20210105113750,20210105113750,20210105113750,20210105115824,000722,000000,강원특별자치도,홍천군,7,7,5.0,"마찰, 전도, 복사","마찰, 전도, 복사",부주의,가연물 근접방치,"종이,목재,건초등","목재, 합판",계절용 기기,나무/목탄난로,"종이,목재,건초등","목재, 합판",기타,야외,기타야외,,,N,N,N,,,,,-4.7,0~4 m/s,남서,35.0
