WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,BLDG_GFA,BTTM_AREA,BLDG_STTS_NM,SPFPTG_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,VHCL_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
220307200844139,기타(쓰레기 화재등),,,,,,,,,,,,,0,0,0,0,월,종로소방서,연건119안전센터,20220307185734,20220307185839,20220307190100,20220307190700,20220307190700,20220307192117,000141,000360,서울특별시,종로구,2,0,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등",종이,,,,,기타,야외,쓰레기,,,N,N,N,,,,,5.3,0~4 m/s,서,35.0
220311021710040,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,,4,1,278.0,0.0,사용중,,,,0,0,0,31,목,종로소방서,연건119안전센터,20220310234943,20220310235030,20220310235307,20220310235800,20220310235900,20220311004000,000157,000353,서울특별시,종로구,2,0,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,다세대주택,1.0,1.0,N,N,N,,,,,7.3,0~4 m/s,북서,58.0
220321080500252,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,1311.0,308.0,사용중,,,,0,0,0,48,월,종로소방서,신영119안전센터,20220321061901,20220321061932,20220321062421,20220321062445,20220321062445,20220321070006,000289,000024,서울특별시,종로구,6,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,기타(부주의),"종이,목재,건초등",종이,,,,,주거,공동주택,다세대주택,3.0,1.0,N,N,N,,,,,0.0,NONE,NONE,0.0
220306041318912,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,2,0,441.0,224.0,사용중,근린생활시설,,,0,0,0,194,일,종로소방서,신영119안전센터,20220306025834,20220306025910,20220306030301,20220306031332,20220306031924,20220306035032,000231,000983,서울특별시,종로구,4,0,0.0,작동기기,작동기기,부주의,"기기(전기, 기계 등) 사용.설치부주의","침구,직물류","이불(베개,시트)",,,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),2.0,10.0,N,N,N,,,,,-2.0,0~4 m/s,서,45.0
220302175450375,"자동차,철도차량",,,,,,,,,,,,,0,0,0,33,수,종로소방서,신영119안전센터,20220302162121,20220302162258,20220302162534,20220302162534,20220302162534,20220302171034,000156,000000,서울특별시,종로구,5,0,0.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,,,"자동차,철도차량",자동차,승용자동차,,,N,N,N,일반도로,엔진룸,,,2.0,0~4 m/s,남서,53.0
220307130914694,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,1,490.0,87.0,사용중,,,,0,0,0,319,월,광진소방서,구의119안전센터,20220307113253,20220307113510,20220307114105,20220307115030,20220307115030,20220307121520,000355,000565,서울특별시,광진구,3,3,0.0,작동기기,작동기기,전기적 요인,층간단락,"전기,전자",전선피복,,,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),3.0,2.0,N,N,N,,,,,7.5,0~4 m/s,북,24.0
220313030527421,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,1,1416.0,248.0,사용중,근린생활시설,,,0,0,0,19,일,광진소방서,구의119안전센터,20220313010043,20220313010210,20220313010450,20220313011910,20220313011910,20220313013420,000160,000860,서울특별시,광진구,1,1,0.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,,,"판매,업무시설",판매시설,상가빌딩,5.0,0.0,N,Y,N,,,,,7.0,0~4 m/s,남,62.0
220318020058462,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,14,4,13373.0,904.0,사용중,복합건축물,,,0,0,0,61,금,광진소방서,능동119안전센터,20220318003205,20220318003405,20220318003905,20220318004200,20220318004200,20220318014550,000300,000175,서울특별시,광진구,1,0,0.0,작동기기,작동기기,전기적 요인,트래킹에 의한 단락,"전기,전자","전기, 전자기기 기판",,,,,"판매,업무시설",일반업무,오피스텔,14.0,0.0,N,Y,N,,,,,7.8,0~4 m/s,동,65.0
220311061544423,"건축,구조물",양식(옥),벽돌조,슬라브가,1.0,2,1,196.0,69.0,사용중,,,,0,0,0,11,금,광진소방서,중곡119안전센터,20220311023836,20220311024014,20220311024406,20220311024930,20220311024930,20220311025940,000232,000324,서울특별시,광진구,2,1,0.0,"마찰, 전도, 복사","마찰, 전도, 복사",부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,다가구주택(원룸포함),-1.0,0.0,N,N,N,,,,,5.6,0~4 m/s,북동,49.0
220326175507415,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,3,1,529.0,133.0,사용중,근린생활시설,,,0,0,0,157,토,광진소방서,중곡119안전센터,20220326161149,20220326161315,20220326161744,20220326162100,20220326162100,20220326165500,000269,000196,서울특별시,광진구,3,1,0.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,"전기,전자",전선피복,,,,,산업시설,작업장,기타 작업장,-1.0,0.0,N,N,N,,,,,14.8,0~4 m/s,서,64.0
220325182405301,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,6,0,2315.0,382.0,사용중,공동주택,,,0,0,0,376,금,광진소방서,중곡119안전센터,20220325164646,20220325164800,20220325165300,20220325165300,20220325165300,20220325171500,000300,000000,서울특별시,광진구,1,2,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,아파트,2.0,10.0,N,Y,N,,,,,16.0,0~4 m/s,남서,49.0
220321194953076,"자동차,철도차량",,,,,,,,,,,가스,액화석유가스(LPG),0,0,0,1096,월,광진소방서,중곡119안전센터,20220321183108,20220321183204,20220321183436,20220321184640,20220321184845,20220321192520,000152,000849,서울특별시,광진구,4,2,0.0,작동기기,작동기기,기계적 요인,"과열, 과부하","자동차,철도차량,선박,항공기",범퍼,"차량, 선박부품",엔진,,,"자동차,철도차량",자동차,승용자동차,,,N,N,N,일반도로,엔진룸,,,7.7,0~4 m/s,북서,31.0
220324031304461,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,4,1,244.0,63.0,사용중,,기타,기타,0,0,0,2939,목,광진소방서,중곡119안전센터,20220324003130,20220324003225,20220324003710,20220324004430,20220324004715,20220324021008,000285,000605,서울특별시,광진구,3,1,0.0,미상(발화원인),미상(발화원인),미상,미상,미상,미상,미상,미상,,,주거,공동주택,연립주택,1.0,0.0,N,N,N,,,,,6.8,0~4 m/s,남,45.0
220328152642828,"건축,구조물",양식(옥),철근콘크리트조,슬라브가,1.0,5,0,2225.0,494.0,사용중,복합건축물,전기,380/220V이상 상용전원,0,0,0,413,월,종로소방서,종로119안전센터,20220328104702,20220328104851,20220328105118,20220328105140,20220328105140,20220328113032,000147,000022,서울특별시,종로구,2,1,0.0,작동기기,작동기기,전기적 요인,절연열화에 의한 단락,"전기,전자",전자기기 부속품,"조명, 간판",형광등,,,집합시설,운동시설,당구장,4.0,15.0,N,Y,N,,,,,7.0,0~4 m/s,북서,40.0
220328081813733,"건축,구조물",한식(옥),목조,스레트가,,1,,29.0,0.0,사용중,,,,0,0,0,3871,월,종로소방서,종로119안전센터,20220328054536,20220328054730,20220328055111,20220328061200,20220328063300,20220328080753,000221,002509,서울특별시,종로구,1,0,0.0,미상(발화원인),미상(발화원인),미상,미상,미상,미상,,,"전기,전자",전선피복,산업시설,작업장,기타 작업장,2.0,8.0,N,N,N,,,,,1.7,0~4 m/s,북동,49.0
