MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU502009101119,제주소방서,삼도센터,여인천하,유흥주점,20221202090922,20221202,090922,2022,12,02,위락시설,,20070330,20221130,제주특별자치도 제주시 삼도이동 ,무근성7길,,석고보드,,합판. 목재,,0/3,,양식(옥),철근콘크리트조,,Y
MU502009100214,서부소방서,대정센터,비너스,유흥주점,20220126094618,20220126,094618,2022,01,26,복합건축물,,20070604,20200501,제주특별자치도 서귀포시 대정읍 하모리,하모중앙로,,,,,,1/2,,양식(옥),철근콘크리트조,,Y
MU502009100578,서귀포소방서,동홍센터,삼공사공,유흥주점,20221130095840,20221130,095840,2022,11,30,위락시설,20070424,20070424,20210115,제주특별자치도 서귀포시 서귀동 ,명동로,,석고보드,,,,지상3지하1,갈채 - 갈채동,양식(옥),철근콘크리트조,,Y
MU502009100266,서부소방서,대정센터,불나비,단란주점,20220405083239,20220405,083239,2022,04,05,근린생활시설,,20070322,20220331,제주특별자치도 서귀포시 대정읍 하모리,신영로,LG베스트빌,,,방염필름,26.0,1/4,국향단란주점 - 본동동,양식(옥),철근콘크리트조,,Y
MU502009100709,서귀포소방서,동홍센터,에스라인,단란주점,20220104155532,20220104,155532,2022,01,04,위락시설,20070502,20070502,,제주특별자치도 서귀포시 서귀동 ,명동로,,석고보드,211.0,해당없음,0.0,1/3,,양식(옥),철근콘크리트조,,Y
MU502009100716,제주소방서,화북센터,복돼지1 PC,인터넷컴퓨터게임시설제공업(PC방),20221229112627,20221229,112627,2022,12,29,근린생활시설,20050218,20050218,20221227,제주특별자치도 제주시 삼양이동 ,일주동로,,석고보드. 회반죽,64.0,목재,20.0,3,저글링pc방 - 저글링pc방동,양식(옥),철근콘크리트조,,Y
MU502009100604,서귀포소방서,동홍센터,벤츠,일반음식점,20220706174234,20220706,174234,2022,07,06,근린생활시설,20070507,20070507,,제주특별자치도 서귀포시 서귀동 ,중앙로,,석고보드. 콘크리트,123.0,해당없음,,1/4,허봉진정형외과(그린골프) - 본동동,양식(옥),철근콘크리트조,,Y
MU272011109771,수성소방서,수성119안전센터,범어 GDR골프,,20221115095755,20221115,095755,2022,11,15,근린생활시설,,20070530,,대구광역시 수성구 범어동 ,달구벌대로,MJ club,,,,,2/5,,양식(옥),철근콘크리트조,,Y
MU272011109412,수성소방서,수성119안전센터,하이엔PC방,인터넷컴퓨터게임시설제공업(PC방),20220105092251,20220105,092251,2022,01,05,근린생활시설,,20051212,,대구광역시 수성구 수성동4가 ,들안로73길,,,,,,1/5,임호빌딩 - 임호건물동,양식(옥),철근콘크리트조,,Y
MU272011109874,수성소방서,수성119안전센터,박카스,유흥주점,20220624101421,20220624,101421,2022,06,24,복합건축물,,20070530,,대구광역시 수성구 수성동2가 ,명덕로,,,,,,1/2,옛날애 - 조마루식당건물동,양식(옥),철근콘크리트조,,Y
MU272011109893,수성소방서,수성119안전센터,보물섬,유흥주점,20221115100045,20221115,100045,2022,11,15,근린생활시설,,20070530,,대구광역시 수성구 수성동3가 ,명덕로,,,,,,1/3,궁전노래방건물 - 궁전노래방건물동,양식(옥),철근콘크리트조,,Y
MU272011108631,수성소방서,수성119안전센터,하나커피숍,휴게음식점,20220526141906,20220526,141906,2022,05,26,근린생활시설,,20060417,,대구광역시 수성구 수성동3가 ,청솔로,,,,,,1/3,수지다방건물 - 수지다방건물동,양식(옥),철근콘크리트조,,Y
MU272011110195,수성소방서,수성119안전센터,송송노래연습장,노래연습장업,20220805092336,20220805,092336,2022,08,05,근린생활시설,20110725,20141006,,대구광역시 수성구 범어동 ,범어천로,,석고보드 위 수성페인트,,,,1/3,청학식당 - 두여인레스토랑동,양식(옥),철근콘크리트조,,Y
MU272011110196,수성소방서,수성119안전센터,알리스타케냐커피범어네거리점,휴게음식점,20220830090422,20220830,090422,2022,08,30,근린생활시설,,20070530,20190501,대구광역시 수성구 범어동 ,동대구로,,,,,,0/3,던킨도너츠건물 - 던킨도너츠건물동,양식(옥),철근콘크리트조,,Y
MU272010101465,달서소방서,본리119안전센터,패밀리노래연습장,노래연습장업,20220507074330,20220507,074330,2022,05,07,,20100429,20101207,20201109,대구광역시 달서구 본리동 ,용산로,,석고보드위 종이벽지. 타일마감. 유리마감,271.0,,,지상5층,,양식(옥),철근콘크리트조,,Y
MU282009103713,부평소방서,부평119안전센터,디바,유흥주점,20221101173131,20221101,173131,2022,11,01,,20091222,20091231,20221031,인천광역시 부평구 부평동 ,주부토로,,석고보드.타일.유리,417.0,,,0/2,,양식(옥),철근콘크리트조,,Y
MU282011110576,중부소방서,연안119안전센터,원조고흥횟집,일반음식점,20220725190646,20220725,190646,2022,07,25,근린생활시설,20040224,20040218,,인천광역시 중구 항동7가 ,연안부두로75번길,,,,,,2/0,일식두무진 - 1동,양식(옥),철근콘크리트조,,Y
MU282009103528,부평소방서,산곡119안전센터,쉘브르7080,단란주점,20220704112535,20220704,112535,2022,07,04,,20090707,20091230,,인천광역시 부평구 산곡동 ,길주로,문명빌딩,석고.타일,237.0,,,-1/5,,양식(옥),철근콘크리트조,,Y
MU262009100024,동래소방서,온천119안전센터,앵콜노래연습장,노래연습장업,20221020170503,20221020,170503,2022,10,20,근린생활시설,20090105,20090108,,부산광역시 동래구 온천동 ,행운6길,임금보쌈,석고보드.유리.콘크리트,375.0,MDF,33.0,1/4,손옥자건물 - 손옥자건물동,양식(옥),철근콘크리트조,,Y
MU272010101872,북부소방서,대현119안전센터,엘리트코스1고시원,고시원업,20220526152728,20220526,152728,2022,05,26,근린생활시설,20091116,20100210,20220526,대구광역시 북구 대현동 ,경대로7길,,석고보드종이벽지 마감. 타일마감,827.0,없음.,0.0,1234층,엘리트1고시원 - 엘리트1고시원동,양식(옥),철근콘크리트조,,Y
MU272011110234,수성소방서,수성119안전센터,제이J,일반음식점,20220110092232,20220110,092232,2022,01,10,업무시설,,20100622,20211230,대구광역시 수성구 범어동 ,동대구로,,,,,,1/6,협성빌딩 - 협성빌딩동,양식(옥),철근콘크리트조,,Y
MU272011109956,수성소방서,수성119안전센터,팡팡,유흥주점,20220711091718,20220711,091718,2022,07,11,복합건축물,,20081107,,대구광역시 수성구 범어동 ,상록로,,,,,,1/3,팡팡유흥주점건물 - 팡팡유흥주점건물동,양식(옥),철근콘크리트조,,Y
MU282010106566,남동소방서,구월119안전센터,탑 노래연습장,노래연습장업,20220921084843,20220921,084843,2022,09,21,근린생활시설,,20091215,20140922,인천광역시 남동구 구월동 ,문화로89번길,,,,,,3/1,매드맥스(C-10★) - 1동,양식(옥),철근콘크리트조,,Y
MU282009103757,부평소방서,부평119안전센터,팔도실비집,일반음식점,20220331170346,20220331,170346,2022,03,31,,20090804,20091231,20220331,인천광역시 부평구 부평동 ,시장로12번길,,석고.타일,66.0,,,-1/4,,양식(옥),철근콘크리트조,,Y
MU282009100119,계양소방서,계산119안전센터,명품 노래연습장,노래연습장업,20220818092250,20220818,092250,2022,08,18,,,20061128,20220816,인천광역시 계양구 임학동 ,계양산로,,석고. 유리. 타일,297.0,없음,,5/1,명품노래방 - 1동,양식(옥),철근콘크리트조,,Y
MU282011113824,서부소방서,검단119안전센터,카츄샤노래연습장,노래연습장업,20220901173434,20220901,173434,2022,09,01,,,20031111,20220831,인천광역시 서구 마전동 ,검단로,,,,,,-1/4,,양식(옥),철근콘크리트조,,Y
MU282010104680,미추홀소방서,신기119안전센터,독도 노래연습장,노래연습장업,20220124111140,20220124,111140,2022,01,24,,20100510,20100527,,인천광역시 미추홀구 학익동 ,소성로,,석고.타일.유리 등,340.0,,,지하0/지상6,,양식(옥),철근콘크리트조,,Y
MU282011110565,중부소방서,연안119안전센터,연안부두 목포신안18호횟집,일반음식점,20220623133438,20220623,133438,2022,06,23,근린생활시설,20060420,20060420,20170331,인천광역시 중구 항동7가 ,연안부두로,,,,,,3,일억조횟집 - 1동,양식(옥),철근콘크리트조,,Y
