MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU272019164760,수성소방서,황금119안전센터,유한회사아웃백스테이크하우스코리아황금점,일반음식점,20211209090954,20211209,090954,2021,12,09,근린생활시설,20190318,20190423,20211209,대구광역시 수성구 황금동 ,동대구로,,콘크리트.석고보드,552.0,벽장식 등,281.0,2층,,양식(옥),철골조,Y,Y
MU422019178270,춘천소방서,대룡119안전센터,인생은노래다술,일반음식점,20210503102550,20210503,102550,2021,05,03,,20190318,20090417,20190322,강원도 춘천시 퇴계동 ,행촌로32번길,,석고보드. 유리,165.0,MDF(방염도료),36.0,지하1/지상3,천하일미닭갈비 - 1동,양식(옥),철근콘크리트조,,Y
MU412019898546,분당소방서,구미119안전센터,(주)배냇산후조리원,산후조리원,20210208111022,20210208,111022,2021,02,08,근린생활시설,20190402,20190422,,경기도 성남시 분당구 구미동 ,구미로9번길,분당팬텀광장,석고. 콘크리트. 유리. 타일,5431.0,선처리필름.후처리도료,492.0,4/8,,양식(옥),철근콘크리트조,,Y
MU482019364264,사천소방서,사천119안전센터,욜로,유흥주점,20210406213135,20210406,213135,2021,04,06,위락시설,20190408,20190429,20210405,경상남도 사천시 사천읍 수석리,역사길,욜로클럽,석고보드. 콘크리트. 타일(벽돌). 유리,912.0,목재.MDF(방염도료),80.0,지상1,궁가요방 - 궁가요방동,양식(옥),철근콘크리트조,,Y
MU292019169492,광산소방서,하남119안전센터,엔젤보이스 코인노래연습장,노래연습장업,20210215144701,20210215,144701,2021,02,15,근린생활시설,20190116,20190308,20200210,광주광역시 광산구 장덕동 ,풍영로200번길,,방화석고보드.유리,979.0,,,0/4,,양식(옥),철근콘크리트조,,N
MU442019222671,논산소방서,내동119안전센터,별이빛나는밤에세계호프,일반음식점,20210702104950,20210702,104950,2021,07,02,근린생활시설,20190405,20190423,,충청남도 논산시 내동 ,대학로,,콘크리트. 유리. 타일. 방화석고. 석고,522.0,합판,22.0,지하 1/지상 5,,양식(옥),철근콘크리트조,,Y
MU482019363130,진주소방서,중앙119안전센터,골든튤립호텔남강레스토랑,일반음식점,20210809075340,20210809,075340,2021,08,09,항공기및자동차관련시설,20190313,20190319,,경상남도 진주시 동성동 ,남강로673번길,골든튤립 호텔남강,석고보드. 유리.타일 등,445.0,방염필름. 방염벽지,94.0,지하2층/지상16층,골든튤립에센셀 남강호텔 - 골든튤립에센셀 남강호텔 주차시설동,양식(옥),철근콘크리트조,,Y
MU282019226554,미추홀소방서,주안119안전센터,소담촌 주안역점,일반음식점,20211223104959,20211223,104959,2021,12,23,,20190403,20190429,,인천광역시 미추홀구 주안동 ,주안로,,콘크리트. 석고. 유리. 방화석고,395.0,,,6/15,,양식(옥),철근콘크리트조,,Y
MU412019889850,,,복다방,일반음식점,20211018213339,20211018,213339,2021,10,18,근린생활시설,20190315,20190320,20190716,경기도 광주시 경안동 ,중앙로,,석고.타일.유리,264.0,선처리 필름,13.0,0/2,,양식(옥),철근콘크리트조,,Y
MU412019887606,,,카페 1913,일반음식점,20211020075001,20211020,075001,2021,10,20,근린생활시설,20190208,20190320,20210107,경기도 광주시 탄벌동 ,탄벌길,,석고보드.내력벽.유리,286.0,,,0/2,,양식(옥),철골조,,Y
MU412019885826,,,썸 노래연습장(도척점),노래연습장업,20210903175042,20210903,175042,2021,09,03,근린생활시설,20181226,20190320,20210901,경기도 광주시 도척면 도웅리,독고개길302번길,,콘크리트.ALC블럭.석고보드,355.0,,,0/3,,양식(옥),철근콘크리트조,,Y
MU282019226563,미추홀소방서,관교119안전센터,삼진식품 주식회사,휴게음식점,20211207141757,20211207,141757,2021,12,07,,20190412,20190429,20211124,인천광역시 미추홀구 관교동 ,연남로,,타일.석고.유리.파벽돌.천장석고,234.0,,,지하2/지상6,,양식(옥),철근콘크리트조,Y,Y
MU262019239145,동래소방서,양정119안전센터,(주)신세계푸드 베이커리 연제점,제과점,20210420150912,20210420,150912,2021,04,20,판매시설,20190419,20190430,,부산광역시 연제구 연산동 ,연수로,신세계연제점E마트,타일. 석고,269.0,,,1/5,이마트 연제점 - 이마트 연제점동,양식(옥),기타 조,Y,Y
MU472019224933,영주소방서,봉화119안전센터,더 & 마실,일반음식점,20210916141628,20210916,141628,2021,09,16,근린생활시설,20181213,20190307,20210916,경상북도 봉화군 봉화읍 내성리,보밑길,,석고보드. 콘크리트,568.0,목재. 합판,101.0,0/12,,양식(옥),철근콘크리트조,,Y
MU282019226566,미추홀소방서,관교119안전센터,공화춘 롯데인천터미널점,일반음식점,20211014185028,20211014,185028,2021,10,14,,20190410,20190429,20210513,인천광역시 미추홀구 관교동 ,연남로,,타일.석고.유리.금속.방화석고.천장석고,389.0,,,지하2/지상6,,양식(옥),철근콘크리트조,Y,Y
MU412016748504,시흥소방서,시흥119안전센터,탕화쿵푸마라탕,일반음식점,20210522140455,20210522,140455,2021,05,22,근린생활시설,20160531,20190321,20210514,경기도 시흥시 정왕동 ,배곧3로,센터프라자Ⅱ,콘크리트.석고보드.유리.타일.파벽돌,279.0,,,2/8,,양식(옥),철근콘크리트조,,Y
MU262019239149,남부소방서,광안119안전센터,고기굽는남자 수영점,일반음식점,20211028142823,20211028,142823,2021,10,28,근린생활시설,20190422,20190430,,부산광역시 수영구 광안동 ,수영로,,불연.준불연,809.0,MDF(방염필름),16.0,1/4,,양식(옥),철근콘크리트조,,Y
MU432019186525,서부소방서,산남안전센터,식욕 지웰점,일반음식점,20210202084909,20210202,084909,2021,02,02,근린생활시설,20190219,20190305,20201231,충청북도 청주시 흥덕구 복대동 ,대농로,,콘크리트.타일.방화석고,490.0, 합판(방염도료),18.0,2/8,식욕지웰점,양식(옥),철근콘크리트조,,Y
MU262019238081,동래소방서,연산119안전센터,퀸라이브 7080,단란주점,20210716134256,20210716,134256,2021,07,16,,20190228,20190312,,부산광역시 연제구 연산동 ,반송로,,불연재(유리.타일). 준불연재(석고보드),632.0,합판(방염도료),64.0,2/6,,양식(옥),철근콘크리트조,,Y
MU412019889886,김포소방서,119생활안전단,돈카페,일반음식점,20210910111846,20210910,111846,2021,09,10,판매시설,20190306,20190320,,경기도 김포시 구래동 ,김포한강4로,,텍스.콘크리트.유리.타일.석고,365.0,해당없음,,2/2,반도유보라 4차 상가 - 반도유보라 4차 상가동,양식(옥),철근콘크리트조,,Y
MU442019223071,아산소방서,신창119안전센터,신정장례문화원,일반음식점,20210815220351,20210815,220351,2021,08,15,복합건축물,20190419,20190430,20210731,충청남도 아산시 방축동 ,신정로,,콘크리트. 방화석고보드. 석고보드,707.0,방염필름,8.0,1/4,신정장례문화원 - 신정장례문화원동,양식(옥),철근콘크리트조,,Y
MU462019162526,무안소방서,남악119안전센터,로하,일반음식점,20210622084450,20210622,084450,2021,06,22,,20190401,20190430,,전라남도 무안군 삼향읍 남악리,대죽동로16번길,,콘크리트 방화석고보드,302.0,벽체 기둥 등 선처리 필름,15.0,2/16,컨테이너 일반음식점,양식(옥),철근콘크리트조,,Y
MU112019798149,광진소방서,능동119안전센터,굿스테이원룸텔 세종대점,고시원업,20210130205023,20210130,205023,2021,01,30,근린생활시설,20190221,20190315,,서울특별시 광진구 군자동 ,광나루로,,석고보드.타일.ALC블록,1028.0,,,지상:3층 지하:1층,굿스테이원룸텔 세종대점,양식(옥),철근콘크리트조,,Y
MU412019898286,평택소방서,비전119안전센터,베이커리팩토리 평택점,제과점,20210423094452,20210423,094452,2021,04,23,판매시설,20190418,20190429,,경기도 평택시 합정동 ,평택5로,롯데마트평택점,방화석고.타일.석고보드,216.0,방염성능성적서제2019-23호 합판+도료 20.00 방염필름4.47,24.0,1/6,롯데마트 - 롯데마트동,양식(옥),철근콘크리트조,Y,Y
MU412019890466,부천소방서,중앙119안전센터,카페드림 부천대 꿈집점,휴게음식점,20211019174414,20211019,174414,2021,10,19,교육연구시설,20190222,20190304,20210908,경기도 부천시 심곡동 ,신흥로56번길,부천대학교,유리.타일.석고보드,414.0,합판(선처리). 합판(도료),81.0,1/4,부천대학 - A동(본관)동,양식(옥),철근콘크리트조,,Y
