adm_cd,adm_nm,gu_cd,fire_rate_per_10k,v2_pred_fire_rate,v2_risk_score,v2_risk_grade,log_avg_living_pop,ratio_65plus,old_bldg_ratio,avg_floors,damage_per_fire,injury_per_fire,avg_living_pop,fire_count,fire_damage,fire_injury,shap_생활인구 (log),shap_65세+ 비율,shap_노후건물비율 (구단위),shap_평균 층수 (구단위),shap_화재당 재산피해 (log),shap_화재당 부상자 수
1111054000,서울특별시 종로구 삼청동,11110,17.7229,15.7351,10.0,매우높음,8.638246086844205,0.1412,0.3906,2.58,8.213562389189342,0.0606060606060606,5642.42306522016,10.0,40586.333333333336,0.6666666666666666,0.17952037693464645,0.001223044039041103,0.005613036505030223,0.05754456599630396,0.014856822937868754,-0.0017047848836975416
1111069000,서울특별시 종로구 창신3동,11110,19.107,15.7074,9.96,매우높음,8.494080577611289,0.1704,0.3906,2.58,7.130847216061129,0.03225806451612903,4884.762183615357,9.333333333333334,12905.666666666666,0.3333333333333333,0.1997882707080487,-0.0010412779201270555,0.005613036505030223,0.05754456599630396,-0.007978655082922278,0.0013647002107192985
1147061000,서울특별시 양천구 신월6동,11470,22.7692,15.5639,9.77,매우높음,8.420526107234359,0.174,0.6145,3.1,8.04431484589497,0.0588235294117647,4538.290980913392,10.333333333333334,35303.666666666664,0.6666666666666666,0.21012912269193015,-0.0013204409013943621,-0.0008669725361170523,0.02839388473173693,0.011287233584276276,-0.0015117746647788355
1111057000,서울특별시 종로구 무악동,11110,13.0353,15.2616,9.36,매우높음,8.802314916998174,0.1973,0.3906,2.58,7.753623546559746,0.0,6648.619520151019,8.666666666666666,22513.666666666668,0.0,0.15645432154608216,-0.003127245752374435,0.005613036505030223,0.05754456599630396,0.005156281565172515,0.004857562559538462
1111070000,서울특별시 종로구 숭인1동,11110,13.3859,15.1677,9.23,매우높음,8.918856776326447,0.1889,0.3906,2.58,8.518017094339234,0.0606060606060606,7470.542700827875,10.0,55034.333333333336,0.6666666666666666,0.14006997249069172,-0.0024758654627507187,0.005613036505030223,0.05754456599630396,0.021278058088466844,-0.0017047848836975416
1111060000,서울특별시 종로구 가회동,11110,17.2709,14.9289,8.91,매우높음,8.818201582770506,0.1313,0.3906,2.58,6.571988056937628,0.0,6755.103400309316,11.666666666666666,9041.333333333334,0.0,0.15422085213997788,0.0019907422375261973,0.005613036505030223,0.05754456599630396,-0.01976551866590011,0.004857562559538462
1111058000,서울특별시 종로구 교남동,11110,11.2657,14.8876,8.85,매우높음,8.908978967375264,0.1582,0.3906,2.58,7.327850932039305,0.03571428571428571,7397.103535607715,8.333333333333334,14197.0,0.3333333333333333,0.1414586706862711,-9.522559472118197e-05,0.005613036505030223,0.05754456599630396,-0.0038236620266819256,0.0009904649590601025
1111067000,서울특별시 종로구 창신1동,11110,34.1009,14.7901,8.72,매우높음,9.02517637435074,0.1965,0.3906,2.58,7.748415901818794,0.0,8308.679958988356,28.33333333333333,67962.33333333333,0.0,0.12512274738634466,-0.0030652095343150334,0.005613036505030223,0.05754456599630396,0.005046447455543751,0.004857562559538462
1129078000,서울특별시 성북구 장위3동,11290,13.1751,14.6167,8.49,매우높음,8.967515772828355,0.1719,0.6333,2.79,7.756623334538858,0.02941176470588235,7843.090877283478,10.333333333333334,26474.666666666668,0.3333333333333333,0.13322911729954,-0.0011575958289884334,-0.001411073339929327,0.04577217548561343,0.005219549905881302,0.0016728939473798132
1117064000,서울특별시 용산구 이촌2동,11170,10.943,14.6153,8.48,매우높음,8.977250191017873,0.1826,0.7379,2.75,7.742402021815781,0.0,7919.82139576965,8.666666666666666,22262.33333333333,0.0,0.13186057807777454,-0.001987330245532931,-0.004438357599438059,0.04801453558288782,0.004919609088411886,0.004857562559538462
