adm_cd,adm_nm,fire_count,fire_death,fire_injury,fire_damage,avg_living_pop,avg_65plus_pop,ratio_65plus,multi_use_cnt,old_bldg_ratio,avg_floors,cntr_dist_avg,dispatch_delay_avg,fire_rate_per_10k
1111053000,서울특별시 종로구 사직동,35.666666666666664,0.6666666666666666,1.3333333333333333,35672.666666666664,24380.171084916303,3005.77456885917,0.1233,0.0,0.3906,2.58,1.341121495327103,3.412461059190031,14.6294
1111054000,서울특별시 종로구 삼청동,10.0,0.0,0.6666666666666666,40586.333333333336,5642.42306522016,796.863309279476,0.1412,0.0,0.3906,2.58,1.61,4.043333333333333,17.7229
1111055000,서울특별시 종로구 부암동,19.333333333333332,0.6666666666666666,0.0,41276.333333333336,14020.04685466703,2510.230755422125,0.179,1.0,0.3906,2.58,1.9363636363636365,4.834770114942529,13.7898
1111056000,서울특별시 종로구 평창동,36.333333333333336,0.0,1.6666666666666667,121648.66666666667,17933.322739377254,3698.616681719907,0.2062,0.0,0.3906,2.58,1.9490740740740744,4.959327217125383,20.2602
1111057000,서울특별시 종로구 무악동,8.666666666666666,0.0,0.0,22513.666666666668,6648.619520151019,1311.8331497361717,0.1973,0.0,0.3906,2.58,2.873076923076923,5.22948717948718,13.0353
1111058000,서울특별시 종로구 교남동,8.333333333333334,0.0,0.3333333333333333,14197.0,7397.103535607715,1170.1885276746723,0.1582,1.0,0.3906,2.58,2.2840000000000003,4.954,11.2657
1111060000,서울특별시 종로구 가회동,11.666666666666666,0.0,0.0,9041.333333333334,6755.103400309316,886.930191257278,0.1313,0.0,0.3906,2.58,1.3088235294117647,3.5261904761904765,17.2709
1111061500,서울특별시 종로구 종로1·2·3·4가동,138.66666666666666,3.6666666666666665,8.333333333333334,356239.6666666667,60814.318296752186,7845.950606049855,0.129,0.0,0.3906,2.58,1.0827956989247312,3.000240384615384,22.8016
1111063000,서울특별시 종로구 종로5·6가동,37.666666666666664,2.3333333333333335,3.0,170108.0,16731.66463918304,2978.6459043577147,0.178,0.0,0.3906,2.58,1.5339285714285715,3.2250737463126846,22.5122
1111064000,서울특별시 종로구 이화동,28.666666666666668,0.0,1.3333333333333333,95484.66666666667,23960.691169241265,3044.529362509097,0.1271,0.0,0.3906,2.58,1.1974683544303797,3.13953488372093,11.964
1111067000,서울특별시 종로구 창신1동,28.333333333333332,0.0,0.0,67962.33333333333,8308.679958988356,1632.5578742449054,0.1965,0.0,0.3906,2.58,1.4505882352941175,3.990588235294117,34.1009
1111068000,서울특별시 종로구 창신2동,15.333333333333334,0.0,0.6666666666666666,15516.666666666666,9194.736002965794,1897.975434989083,0.2064,0.0,0.3906,2.58,1.8695652173913044,4.523188405797101,16.6762
1111069000,서울특별시 종로구 창신3동,9.333333333333334,0.0,0.3333333333333333,12905.666666666666,4884.762183615357,832.4218563591703,0.1704,0.0,0.3906,2.58,2.0142857142857142,4.803571428571429,19.107
1111070000,서울특별시 종로구 숭인1동,10.0,0.3333333333333333,0.6666666666666666,55034.333333333336,7470.542700827875,1411.0469195232895,0.1889,0.0,0.3906,2.58,1.4666666666666666,3.7127777777777777,13.3859
1111071000,서울특별시 종로구 숭인2동,25.333333333333332,0.0,1.0,193806.33333333334,12303.921020160116,2185.225551901383,0.1776,0.0,0.3906,2.58,1.0935483870967742,3.2342105263157896,20.5896
1111051500,서울특별시 종로구 청운효자동,20.666666666666668,0.0,2.3333333333333335,26207.333333333332,17111.950668905847,2502.4397591295647,0.1462,0.0,0.3906,2.58,1.0833333333333333,3.22741935483871,12.0773
1111065000,서울특별시 종로구 혜화동,45.666666666666664,0.0,2.3333333333333335,58560.333333333336,30889.457359597887,3244.1322330240178,0.105,1.0,0.3906,2.58,1.3536764705882351,3.5745742092457418,14.7839
1114052000,서울특별시 중구 소공동,30.333333333333332,0.3333333333333333,3.0,143166.33333333334,28119.38214141193,1994.9233746997816,0.0709,0.0,0.5778,3.2,1.589010989010989,3.758241758241758,10.7873
1114054000,서울특별시 중구 회현동,39.666666666666664,0.3333333333333333,2.3333333333333335,531674.0,25755.292134088428,3373.1595001455603,0.131,0.0,0.5778,3.2,1.3608695652173912,3.537394957983193,15.4014
1114055000,서울특별시 중구 명동,54.333333333333336,0.3333333333333333,4.0,966838.6666666666,35906.43353352438,2623.228180385735,0.0731,0.0,0.5778,3.2,1.3614906832298137,3.317280163599182,15.1319
1114057000,서울특별시 중구 필동,28.333333333333332,0.0,0.0,56456.666666666664,12153.139233851893,1324.2605741903203,0.109,0.0,0.5778,3.2,1.4894736842105265,3.263137254901961,23.3136
1114058000,서울특별시 중구 장충동,17.666666666666668,0.0,1.3333333333333333,249412.0,11937.947420724164,1291.9016048398837,0.1082,0.0,0.5778,3.2,1.271698113207547,3.349685534591195,14.7987
1114059000,서울특별시 중구 광희동,50.0,0.0,10.666666666666666,473591.6666666667,23507.3273727984,2692.121048817321,0.1145,0.0,0.5778,3.2,1.20709219858156,2.968777777777778,21.27
1114060500,서울특별시 중구 을지로동,42.666666666666664,1.0,2.6666666666666665,705782.0,17605.66403422489,2452.615085325692,0.1393,0.0,0.5778,3.2,1.525,3.218880208333333,24.2346
1114065000,서울특별시 중구 신당5동,21.666666666666668,0.0,0.3333333333333333,105378.33333333333,8620.230053511645,1378.2933479803492,0.1599,0.0,0.5778,3.2,1.0158730158730158,3.0320512820512824,25.1347
1114067000,서울특별시 중구 황학동,33.0,0.6666666666666666,2.3333333333333335,98994.33333333333,13256.68761775837,2052.3095493358805,0.1548,0.0,0.5778,3.2,1.0787878787878789,3.226094276094276,24.8931
1114068000,서울특별시 중구 중림동,16.0,0.0,0.6666666666666666,16208.666666666666,8729.322891183312,1228.7490772075344,0.1408,0.0,0.5778,3.2,1.8,3.8375,18.329
1114061500,서울특별시 중구 신당동,41.0,0.3333333333333333,2.6666666666666665,24059269.0,22105.17975656841,2860.1417191229984,0.1294,1.0,0.5778,3.2,0.8918367346938776,2.468563685636856,18.5477
1114062500,서울특별시 중구 다산동,29.0,0.3333333333333333,1.6666666666666667,131052.0,14970.5169636008,2540.318138000364,0.1697,0.0,0.5778,3.2,0.9848101265822784,3.011877394636015,19.3714
1114063500,서울특별시 중구 약수동,15.666666666666666,0.0,0.3333333333333333,60757.666666666664,14294.875971815864,2997.088321552038,0.2097,0.0,0.5778,3.2,1.0097560975609756,2.753900709219858,10.9596
1114064500,서울특별시 중구 청구동,15.0,0.0,4.666666666666667,192567.66666666666,11356.272358333334,2045.3704629093888,0.1801,0.0,0.5778,3.2,1.1377777777777778,2.914074074074074,13.2086
1114066500,서울특별시 중구 동화동,13.0,0.0,0.6666666666666666,8191.333333333333,10319.342309061134,1876.7434221160845,0.1819,0.0,0.5778,3.2,1.094871794871795,2.958119658119658,12.5977
1117051000,서울특별시 용산구 후암동,27.0,0.3333333333333333,1.0,44780.666666666664,13036.441091475615,2125.787067248908,0.1631,1.0,0.7379,2.75,1.047945205479452,2.9705761316872428,20.7112
1117052000,서울특별시 용산구 용산2가동,20.333333333333332,0.0,0.3333333333333333,45965.666666666664,12016.042008906476,1805.433999863537,0.1503,0.0,0.7379,2.75,1.5262295081967212,4.617213114754098,16.9218
1117053000,서울특별시 용산구 남영동,38.333333333333336,0.3333333333333333,2.3333333333333335,43470.666666666664,16443.4758525746,2122.1943377820235,0.1291,0.0,0.7379,2.75,1.252212389380531,2.8146376811594203,23.3122
1117057000,서울특별시 용산구 원효로2동,19.0,0.0,1.0,37169.333333333336,15633.997158342432,2593.2277789210334,0.1659,0.0,0.7379,2.75,1.3660714285714286,3.957309941520468,12.153
1117058000,서울특별시 용산구 효창동,13.333333333333334,0.0,0.3333333333333333,7225.0,9449.209983578969,1508.212887372635,0.1596,0.0,0.7379,2.75,2.269230769230769,4.418333333333334,14.1105
1117059000,서울특별시 용산구 용문동,11.666666666666666,0.0,0.3333333333333333,4573.0,8695.826796761281,1497.297835180131,0.1722,0.0,0.7379,2.75,1.5771428571428572,4.167619047619048,13.4164
1117063000,서울특별시 용산구 이촌1동,19.0,0.0,1.3333333333333333,62405.0,25334.571485352983,4346.969511381004,0.1716,0.0,0.7379,2.75,2.3857142857142857,4.865497076023392,7.4996
1117064000,서울특별시 용산구 이촌2동,8.666666666666666,0.0,0.0,22262.333333333332,7919.82139576965,1446.4608692776565,0.1826,0.0,0.7379,2.75,1.7333333333333334,4.946794871794872,10.943
1117065000,서울특별시 용산구 이태원1동,40.666666666666664,0.0,0.3333333333333333,35700.0,11360.02216768559,1368.5052855895196,0.1205,0.0,0.7379,2.75,0.957843137254902,2.6812841530054645,35.7981
1117066000,서울특별시 용산구 이태원2동,20.0,0.0,1.0,39372.666666666664,11118.824287327148,1495.8366618176856,0.1345,0.0,0.7379,2.75,1.5233333333333334,4.173333333333334,17.9875
1117069000,서울특별시 용산구 서빙고동,19.0,0.0,0.3333333333333333,28287.333333333332,15366.17493221434,2365.702700309316,0.154,0.0,0.7379,2.75,1.4358490566037734,4.304970760233918,12.3648
1117070000,서울특별시 용산구 보광동,33.333333333333336,0.0,1.0,31025.666666666668,10512.523640029112,1568.5558826965066,0.1492,0.0,0.7379,2.75,1.4010309278350517,4.053333333333333,31.7082
1117055500,서울특별시 용산구 청파동,37.666666666666664,0.3333333333333333,0.6666666666666666,50530.0,22521.44583766376,2856.8123933406114,0.1268,0.0,0.7379,2.75,2.245132743362832,4.2938053097345135,16.7248
1117056000,서울특별시 용산구 원효로1동,28.0,0.0,1.3333333333333333,37975.666666666664,20585.214410935227,2115.7637070687774,0.1028,0.0,0.7379,2.75,1.7511904761904762,3.7888888888888888,13.602
1117062500,서울특별시 용산구 한강로동,52.0,0.3333333333333333,0.3333333333333333,60484.0,49583.57488022198,4829.694196761281,0.0974,0.0,0.7379,2.75,1.2972222222222225,3.034294871794872,10.4873
1117068500,서울특별시 용산구 한남동,68.33333333333333,0.0,0.6666666666666666,122710.66666666667,31191.74626393741,3716.950056632096,0.1192,3.0,0.7379,2.75,1.4989949748743718,4.069756097560975,21.9075
1120052000,서울특별시 성동구 왕십리2동,14.333333333333334,0.0,0.0,35391.0,14534.09111074418,2202.49883224163,0.1515,0.0,0.75,3.32,1.335714285714286,3.3472868217054264,9.8619
1120054000,서울특별시 성동구 마장동,43.666666666666664,0.0,2.6666666666666665,439711.0,21345.928078247816,3522.4917827419945,0.165,0.0,0.75,3.32,1.545801526717557,3.84529262086514,20.4567
1120055000,서울특별시 성동구 사근동,40.0,0.0,2.0,41194.333333333336,23833.17365098925,2242.8618224337065,0.0941,0.0,0.75,3.32,1.43109243697479,3.203781512605042,16.7833
1120056000,서울특별시 성동구 행당1동,25.0,0.0,0.3333333333333333,22892.333333333332,21960.699960598617,2709.424596624818,0.1234,0.0,0.75,3.32,1.2529411764705882,3.061555555555556,11.384
1120057000,서울특별시 성동구 행당2동,9.333333333333334,0.0,0.6666666666666666,16695.0,18918.9002334607,3148.2671186681223,0.1664,0.0,0.75,3.32,1.707142857142857,3.519642857142857,4.9333
1120058000,서울특별시 성동구 응봉동,11.0,0.0,1.0,29025.666666666668,10688.700817367177,1739.7344921579331,0.1628,0.0,0.75,3.32,2.0303030303030303,4.11010101010101,10.2912
1120059000,서울특별시 성동구 금호1가동,7.0,0.0,0.0,5769.666666666667,14845.85357933952,2431.0080342521837,0.1637,0.0,0.75,3.32,0.9823529411764704,2.6063492063492064,4.7151
1120062000,서울특별시 성동구 금호4가동,15.5,0.5,0.0,29883.5,12237.90771669396,2120.4637340520376,0.1733,0.0,0.75,3.32,1.3333333333333333,3.565591397849462,12.6656
1120065000,서울특별시 성동구 성수1가1동,33.0,0.6666666666666666,2.0,55263.0,18726.54938922853,2139.5499565684136,0.1143,0.0,0.75,3.32,2.198989898989899,4.586026936026936,17.622
1120066000,서울특별시 성동구 성수1가2동,35.0,0.3333333333333333,1.0,46410.666666666664,20283.36201429221,2127.2578874545125,0.1049,0.0,0.75,3.32,1.9457142857142855,3.948412698412698,17.2555
1120067000,서울특별시 성동구 성수2가1동,44.0,0.0,1.3333333333333333,247976.33333333334,19358.39417939411,2418.577985007278,0.1249,0.0,0.75,3.32,1.234959349593496,3.151641414141414,22.7292
