adm_cd,avg_living_pop,avg_65plus_pop,ratio_65plus
1111051500,17111.950668905847,2502.4397591295647,0.1462
1111053000,24380.171084916303,3005.77456885917,0.1233
1111054000,5642.42306522016,796.863309279476,0.1412
1111055000,14020.04685466703,2510.230755422125,0.179
1111056000,17933.322739377254,3698.616681719907,0.2062
1111057000,6648.619520151019,1311.8331497361717,0.1973
1111058000,7397.103535607715,1170.1885276746725,0.1582
1111060000,6755.103400309316,886.930191257278,0.1313
1111061500,60814.318296752186,7845.950606049855,0.129
1111063000,16731.66463918304,2978.6459043577147,0.178
1111064000,23960.691169241265,3044.529362509097,0.1271
1111065000,30889.457359597887,3244.1322330240178,0.105
1111067000,8308.679958988356,1632.5578742449054,0.1965
1111068000,9194.736002965794,1897.975434989083,0.2064
1111069000,4884.762183615357,832.4218563591703,0.1704
1111070000,7470.542700827875,1411.0469195232897,0.1889
1111071000,12303.921020160116,2185.225551901383,0.1776
1114052000,28119.382141411934,1994.9233746997818,0.0709
1114054000,25755.292134088428,3373.1595001455603,0.131
1114055000,35906.43353352438,2623.228180385735,0.0731
1114057000,12153.139233851893,1324.2605741903203,0.109
1114058000,11937.947420724164,1291.9016048398835,0.1082
1114059000,23507.327372798398,2692.1210488173215,0.1145
1114060500,17605.66403422489,2452.6150853256913,0.1393
1114061500,22105.17975656841,2860.1417191229984,0.1294
1114062500,14970.516963600801,2540.318138000364,0.1697
1114063500,14294.875971815865,2997.088321552038,0.2097
1114064500,11356.272358333334,2045.3704629093886,0.1801
1114065000,8620.230053511645,1378.2933479803492,0.1599
1114066500,10319.342309061134,1876.7434221160843,0.1819
1114067000,13256.68761775837,2052.3095493358805,0.1548
1114068000,8729.322891183312,1228.7490772075344,0.1408
1117051000,13036.441091475617,2125.787067248908,0.1631
1117052000,12016.042008906477,1805.433999863537,0.1503
1117053000,16443.4758525746,2122.1943377820235,0.1291
1117055500,22521.445837663756,2856.8123933406114,0.1268
1117056000,20585.214410935227,2115.7637070687774,0.1028
1117057000,15633.997158342432,2593.2277789210334,0.1659
1117058000,9449.209983578967,1508.2128873726347,0.1596
1117059000,8695.826796761281,1497.297835180131,0.1722
1117062500,49583.57488022198,4829.694196761281,0.0974
1117063000,25334.571485352983,4346.969511381004,0.1716
1117064000,7919.82139576965,1446.4608692776565,0.1826
1117065000,11360.02216768559,1368.5052855895196,0.1205
1117066000,11118.824287327147,1495.8366618176856,0.1345
1117068500,31191.74626393741,3716.950056632096,0.1192
1117069000,15366.174932214339,2365.7027003093162,0.154
1117070000,10512.523640029112,1568.5558826965066,0.1492
1120052000,14534.091110744179,2202.49883224163,0.1515
1120053500,29088.811688045855,3863.696117749272,0.1328
1120054000,21345.928078247816,3522.4917827419945,0.165
1120055000,23833.173650989254,2242.8618224337065,0.0941
1120056000,21960.699960598617,2709.424596624818,0.1234
1120057000,18918.9002334607,3148.2671186681223,0.1664
1120058000,10688.700817367177,1739.7344921579331,0.1628
1120059000,14845.85357933952,2431.0080342521833,0.1637
1120061500,20526.929472834792,3542.4412228984716,0.1726
1120062000,12237.907716693959,2120.4637340520376,0.1733
1120064500,27393.87469389556,4521.972262054222,0.1651
1120065000,18726.54938922853,2139.5499565684136,0.1143
1120066000,20283.362014292212,2127.2578874545125,0.1049
1120067000,19358.39417939411,2418.577985007278,0.1249
1120069000,33936.46627424491,3085.3858889828966,0.0909
1120072000,9965.082251009826,1333.1168366448326,0.1338
1120079000,19715.98499276747,2950.0624583151384,0.1496
1121571000,40073.37182522744,3123.493144423217,0.0779
1121573000,21318.41127562773,2346.5815465429405,0.1101
1121574000,15344.050650327512,2207.2949459970887,0.1439
1121575000,18425.96791088064,2747.8947237627367,0.1491
1121576000,15127.837971497453,2611.2048172034206,0.1726
1121577000,24682.064336359643,4591.249837255949,0.186
1121578000,15181.689166175402,1912.677391639374,0.126
1121581000,35564.514818276926,4186.841956532024,0.1177
1121582000,24601.61977249818,3286.877600964338,0.1336
1121583000,21198.555853002184,3306.403670533115,0.156
1121584000,23916.718999445053,3390.9091812954875,0.1418
1121584700,26321.649089628823,3726.8281502638283,0.1416
1121585000,24103.10804341339,3023.186238127729,0.1254
1121586000,20746.476275827874,3296.8305890738716,0.1589
1121587000,30647.017348362446,4051.9684738991996,0.1322
1123053600,41281.53746358261,7328.853993104075,0.1775
1123054500,32148.903746106258,6811.598322298035,0.2119
1123056000,31248.205501055312,5190.466498107715,0.1661
1123057000,16113.840690629155,2714.244489620119,0.1684
1123060000,22437.41779495997,3432.4577773471615,0.153
1123061000,21908.082358333337,4102.735141020743,0.1873
1123065000,34900.448211963245,5356.223806586609,0.1535
1123066000,28041.11711257278,4275.656488227802,0.1525
1123070500,19930.690733151383,4973.3989054858075,0.2495
1123071000,20417.245588073147,2511.3377082514558,0.123
1123072000,16853.215535789666,2366.2993762463607,0.1404
1123073000,19813.019673253275,3020.31653742722,0.1524
1123074000,24447.81622449054,2754.488285234716,0.1127
1123075000,14384.538511280933,2787.8994825964337,0.1938
1126052000,20570.34478422489,3708.180873735444,0.1803
1126054000,16820.687932478166,3222.6878618176856,0.1916
1126055000,11329.59713820051,1965.6051496270013,0.1735
