adm_cd,multi_use_cnt
1111055000,1
1111058000,1
1111065000,1
1114061500,1
1117051000,1
1117068500,3
1121571000,2
1123054500,2
1123070500,1
1123071000,9
1130553500,2
1138069000,1
1141058500,1
1144058500,1
1144060000,1
1144061000,1
1144066000,7
1144071000,2
1144074000,6
1150051000,1
1150062000,1
1154551000,7
1159053000,1
1162068500,15
1162069500,9
1162074500,9
1168051000,15
1168056500,4
1171061000,2
1174068500,2
