adm_cd,adm_nm,sigungu_nm,fire_rate_per_10k,pred_fire_rate,risk_score,risk_grade,ratio_65plus,old_bldg_ratio,avg_floors,multi_use_cnt,multi_use_per_pop,avg_living_pop,avg_65plus_pop,fire_count,fire_injury,fire_damage
1154571000,서울특별시 금천구 시흥5동,금천구,18.8974,17.9207,6.79,매우높음,0.2084,0.6476,3.1,0.0,0.0,11641.797945360262,2426.687538746361,22.0,1.0,47365.333333333336
1120054000,서울특별시 성동구 마장동,성동구,20.4567,17.8698,6.76,매우높음,0.165,0.75,3.32,0.0,0.0,21345.928078247816,3522.4917827419945,43.66666666666666,2.6666666666666665,439711.0
1114059000,서울특별시 중구 광희동,중구,21.27,17.767,6.71,매우높음,0.1145,0.5778,3.2,0.0,0.0,23507.3273727984,2692.121048817321,50.0,10.666666666666666,473591.6666666667
1168052100,서울특별시 강남구 논현1동,강남구,23.4049,17.5281,6.6,매우높음,0.092,0.5206,4.83,0.0,0.0,42868.56836743086,3944.9923473071326,100.33333333333331,3.0,345229.3333333333
1162064500,서울특별시 관악구 서원동,관악구,21.7039,17.4786,6.58,매우높음,0.1293,0.5979,3.15,0.0,0.0,21962.26465947962,2838.9414381368265,47.66666666666666,3.0,110649.0
1111054000,서울특별시 종로구 삼청동,종로구,17.7229,17.4828,6.58,매우높음,0.1412,0.3906,2.58,0.0,0.0,5642.42306522016,796.863309279476,10.0,0.6666666666666666,40586.333333333336
1141066000,서울특별시 서대문구 홍은1동,서대문구,21.7058,17.4519,6.57,매우높음,0.2022,0.6647,2.75,0.0,0.0,15356.879070223798,3104.9994259916307,33.333333333333336,0.0,47194.0
1126066000,서울특별시 중랑구 망우3동,중랑구,20.6208,17.455,6.57,매우높음,0.2104,0.5997,3.26,0.0,0.0,11800.39107544301,2483.275078672236,24.33333333333333,2.0,31968.666666666668
1141061500,서울특별시 서대문구 연희동,서대문구,20.3874,17.4461,6.56,매우높음,0.1329,0.6647,2.75,0.0,0.0,37604.97562077875,4998.703627401746,76.66666666666667,4.333333333333333,89505.0
1132051300,서울특별시 도봉구 창3동,도봉구,19.5158,17.4223,6.55,매우높음,0.2055,0.65,4.79,0.0,0.0,10418.915853684495,2141.164647971252,20.33333333333333,0.6666666666666666,23382.666666666668
1154567000,서울특별시 금천구 시흥1동,금천구,19.3953,17.388,6.54,매우높음,0.1671,0.6476,3.1,0.0,0.0,27669.93434606987,4624.217237127002,53.66666666666666,3.6666666666666665,291954.3333333333
1165055000,서울특별시 서초구 반포본동,서초구,21.4562,17.2211,6.46,매우높음,0.1475,0.4541,5.94,0.0,0.0,4660.658328156841,687.2405418486171,10.0,2.0,35400.0
1114062500,서울특별시 중구 다산동,중구,19.3714,17.1262,6.42,매우높음,0.1697,0.5778,3.2,0.0,0.0,14970.5169636008,2540.318138000364,29.0,1.6666666666666667,131052.0
1154570000,서울특별시 금천구 시흥4동,금천구,17.6338,17.0613,6.39,매우높음,0.2019,0.6476,3.1,0.0,0.0,11341.830258360627,2289.861952965793,20.0,2.333333333333333,51083.333333333336
1132066000,서울특별시 도봉구 쌍문1동,도봉구,19.8562,16.9817,6.35,매우높음,0.2054,0.65,4.79,0.0,0.0,16787.34311258188,3448.8998279748907,33.333333333333336,1.0,41463.0
1171054000,서울특별시 송파구 마천1동,송파구,19.9055,16.9758,6.35,매우높음,0.1974,0.4684,6.28,0.0,0.0,12224.412068058587,2412.639628047671,24.33333333333333,0.3333333333333333,36607.333333333336
1154569000,서울특별시 금천구 시흥3동,금천구,16.9639,16.847,6.29,매우높음,0.1722,0.6476,3.1,0.0,0.0,10021.295290947965,1725.4523329785295,17.0,1.0,203930.3333333333
1144066000,서울특별시 마포구 서교동,마포구,19.1083,16.7356,6.23,매우높음,0.0742,0.6235,3.22,7.0,0.969260656549894,72219.99523757277,5355.960651046215,138.0,2.333333333333333,295798.0
1154562000,서울특별시 금천구 독산2동,금천구,19.4664,16.6874,6.21,매우높음,0.1779,0.6476,3.1,0.0,0.0,13870.039688064046,2467.2318329694326,27.0,1.0,40915.0
1114058000,서울특별시 중구 장충동,중구,14.7987,16.6886,6.21,매우높음,0.1082,0.5778,3.2,0.0,0.0,11937.947420724164,1291.9016048398837,17.666666666666668,1.3333333333333333,249412.0
1132069000,서울특별시 도봉구 방학1동,도봉구,21.4719,16.6843,6.21,매우높음,0.201,0.65,4.79,0.0,0.0,23286.223624099348,4681.1953170123725,50.0,12.0,88245.33333333333
1171055000,서울특별시 송파구 마천2동,송파구,20.176,16.6764,6.21,매우높음,0.2112,0.4684,6.28,0.0,0.0,14703.954537236172,3105.927327783843,29.666666666666668,0.3333333333333333,77577.0
1162069500,서울특별시 관악구 신림동,관악구,19.9647,16.6379,6.19,매우높음,0.1023,0.5979,3.15,9.0,3.208608377451147,28049.54341965976,2870.7564094068416,56.0,4.333333333333333,93671.0
1111060000,서울특별시 종로구 가회동,종로구,17.2709,16.5976,6.17,매우높음,0.1313,0.3906,2.58,0.0,0.0,6755.103400309316,886.930191257278,11.666666666666666,0.0,9041.333333333334
1154563000,서울특별시 금천구 독산3동,금천구,20.8767,16.5585,6.15,매우높음,0.1662,0.6476,3.1,0.0,0.0,19958.48331496543,3317.74247584607,41.66666666666666,0.3333333333333333,90427.66666666669
1168056500,서울특별시 강남구 청담동,강남구,16.661,16.4447,6.1,매우높음,0.1112,0.5206,4.83,4.0,0.9520568004217529,42014.29996853165,4671.048713655386,70.0,1.6666666666666667,323581.6666666667
1114068000,서울특별시 중구 중림동,중구,18.329,16.4405,6.1,매우높음,0.1408,0.5778,3.2,0.0,0.0,8729.322891183312,1228.7490772075344,16.0,0.6666666666666666,16208.666666666666
1154561000,서울특별시 금천구 독산1동,금천구,17.8284,16.4183,6.09,매우높음,0.1283,0.6476,3.1,0.0,0.0,36832.598681568415,4724.969075272926,65.66666666666667,3.333333333333333,229982.66666666663
1162066500,서울특별시 관악구 서림동,관악구,16.9694,16.4025,6.08,매우높음,0.1377,0.5979,3.15,0.0,0.0,17286.036222825693,2380.164777001456,29.33333333333333,2.0,125245.0
1168051000,서울특별시 강남구 신사동,강남구,17.9809,16.3799,6.07,매우높음,0.1108,0.5206,4.83,15.0,4.170837814354227,35963.997325373,3985.0438125,64.66666666666667,1.6666666666666667,189333.66666666663
1153055000,서울특별시 구로구 구로4동,구로구,21.0995,16.3831,6.07,매우높음,0.1864,0.5993,3.43,0.0,0.0,18325.849555049128,3416.487735271106,38.66666666666666,1.0,104501.0
1120065000,서울특별시 성동구 성수1가1동,성동구,17.622,16.3848,6.07,매우높음,0.1143,0.75,3.32,0.0,0.0,18726.54938922853,2139.5499565684136,33.0,2.0,55263.0
1123054500,서울특별시 동대문구 제기동,동대문구,17.8337,16.328,6.04,매우높음,0.2119,0.6955,3.25,2.0,0.6221051939421829,32148.90374610625,6811.598322298035,57.333333333333336,4.666666666666667,1365856.0
1111057000,서울특별시 종로구 무악동,종로구,13.0353,16.2573,6.01,매우높음,0.1973,0.3906,2.58,0.0,0.0,6648.619520151019,1311.8331497361717,8.666666666666666,0.0,22513.666666666668
1120079000,서울특별시 성동구 용답동,성동구,19.95,16.1472,5.96,매우높음,0.1496,0.75,3.32,0.0,0.0,19715.98499276747,2950.0624583151384,39.333333333333336,3.0,83828.0
1147059000,서울특별시 양천구 신월4동,양천구,15.9744,16.1169,5.95,매우높음,0.1748,0.6145,3.1,0.0,0.0,11476.665743440684,2006.3154535480348,18.33333333333333,0.3333333333333333,48433.66666666666
