adm_cd,adm_nm,year,fire_count,death_cnt,injury_cnt,property_damage
1114059000,서울특별시 중구 광희동,2021,112,0,20,335654
1114059000,서울특별시 중구 광희동,2022,19,0,6,690605
1114059000,서울특별시 중구 광희동,2023,19,0,6,394516
1114059000,서울특별시 중구 광희동,2024,22,0,3,191117
1114060500,서울특별시 중구 을지로동,2021,100,3,5,1617588
1114060500,서울특별시 중구 을지로동,2022,15,0,1,209391
1114060500,서울특별시 중구 을지로동,2023,13,0,2,290367
1114060500,서울특별시 중구 을지로동,2024,12,0,0,2711
1114061500,서울특별시 중구 신당동,2021,97,1,8,72035466
1114061500,서울특별시 중구 신당동,2022,18,0,0,102909
1114061500,서울특별시 중구 신당동,2023,8,0,0,39432
1114061500,서울특별시 중구 신당동,2024,16,0,0,23612
1114062500,서울특별시 중구 다산동,2021,67,1,5,180991
1114062500,서울특별시 중구 다산동,2022,12,0,0,201347
1114062500,서울특별시 중구 다산동,2023,8,0,0,10818
1114062500,서울특별시 중구 다산동,2024,8,0,0,38361
1114063500,서울특별시 중구 약수동,2021,31,0,1,18519
1114063500,서울특별시 중구 약수동,2022,9,0,0,131203
1114063500,서울특별시 중구 약수동,2023,7,0,0,32551
1114063500,서울특별시 중구 약수동,2024,8,0,0,108909
1114064500,서울특별시 중구 청구동,2021,34,0,9,550675
1114064500,서울특별시 중구 청구동,2022,8,0,5,4045
1114064500,서울특별시 중구 청구동,2023,3,0,0,22983
1114064500,서울특별시 중구 청구동,2024,3,0,0,326
1114065000,서울특별시 중구 신당5동,2021,47,0,1,132597
1114065000,서울특별시 중구 신당5동,2022,11,0,0,151559
1114065000,서울특별시 중구 신당5동,2023,7,0,0,31979
1114065000,서울특별시 중구 신당5동,2024,9,0,0,125503
1114066500,서울특별시 중구 동화동,2021,33,0,2,18263
1114066500,서울특별시 중구 동화동,2022,4,0,0,6258
1114066500,서울특별시 중구 동화동,2023,2,0,0,53
1114066500,서울특별시 중구 동화동,2024,1,0,0,1
1114067000,서울특별시 중구 황학동,2021,70,1,6,231471
1114067000,서울특별시 중구 황학동,2022,15,1,0,57846
1114067000,서울특별시 중구 황학동,2023,14,0,1,7666
1114067000,서울특별시 중구 황학동,2024,10,0,0,48103
1114068000,서울특별시 중구 중림동,2021,32,0,1,14758
1114068000,서울특별시 중구 중림동,2022,9,0,1,3424
1114068000,서울특별시 중구 중림동,2023,7,0,0,30444
1114068000,서울특별시 중구 중림동,2024,9,0,0,59009
1117051000,서울특별시 용산구 후암동,2021,54,0,2,64776
1117051000,서울특별시 용산구 후암동,2022,13,1,1,17685
1117051000,서울특별시 용산구 후암동,2023,14,0,0,51881
1117051000,서울특별시 용산구 후암동,2024,10,0,1,5237
1117052000,서울특별시 용산구 용산2가동,2021,40,0,0,92407
1117052000,서울특별시 용산구 용산2가동,2022,13,0,1,40085
1117052000,서울특별시 용산구 용산2가동,2023,8,0,0,5405
1117052000,서울특별시 용산구 용산2가동,2024,6,0,0,28624
1117053000,서울특별시 용산구 남영동,2021,78,0,6,110383
1117053000,서울특별시 용산구 남영동,2022,17,0,1,12806
1117053000,서울특별시 용산구 남영동,2023,20,1,0,7223
1117053000,서울특별시 용산구 남영동,2024,9,0,0,32065
1117055500,서울특별시 용산구 청파동,2021,83,0,1,122191
1117055500,서울특별시 용산구 청파동,2022,9,1,1,7759
1117055500,서울특별시 용산구 청파동,2023,21,0,0,21640
1117055500,서울특별시 용산구 청파동,2024,14,1,2,11470
1117056000,서울특별시 용산구 원효로1동,2021,54,0,4,83870
1117056000,서울특별시 용산구 원효로1동,2022,17,0,0,27607
1117056000,서울특별시 용산구 원효로1동,2023,13,0,0,2450
1117056000,서울특별시 용산구 원효로1동,2024,13,0,0,61035
1117057000,서울특별시 용산구 원효로2동,2021,50,0,3,103510
1117057000,서울특별시 용산구 원효로2동,2022,2,0,0,1640
1117057000,서울특별시 용산구 원효로2동,2023,5,0,0,6358
1117057000,서울특별시 용산구 원효로2동,2024,2,0,0,79
1117058000,서울특별시 용산구 효창동,2021,25,0,1,11597
1117058000,서울특별시 용산구 효창동,2022,5,0,0,1945
1117058000,서울특별시 용산구 효창동,2023,10,0,0,8133
1117058000,서울특별시 용산구 효창동,2024,2,0,0,48
1117059000,서울특별시 용산구 용문동,2021,23,0,0,9195
1117059000,서울특별시 용산구 용문동,2022,7,0,1,4424
1117059000,서울특별시 용산구 용문동,2023,5,0,0,100
1117059000,서울특별시 용산구 용문동,2024,6,0,0,3679
1117062500,서울특별시 용산구 한강로동,2021,94,1,1,114563
1117062500,서울특별시 용산구 한강로동,2022,32,0,0,46831
1117062500,서울특별시 용산구 한강로동,2023,30,0,0,20058
1117062500,서울특별시 용산구 한강로동,2024,21,0,2,79512
1117063000,서울특별시 용산구 이촌1동,2021,44,0,4,177517
1117063000,서울특별시 용산구 이촌1동,2022,7,0,0,4816
1117063000,서울특별시 용산구 이촌1동,2023,6,0,0,4882
1117063000,서울특별시 용산구 이촌1동,2024,7,0,0,3767
1117064000,서울특별시 용산구 이촌2동,2021,19,0,0,11867
1117064000,서울특별시 용산구 이촌2동,2022,4,0,0,4020
1117064000,서울특별시 용산구 이촌2동,2023,3,0,0,50900
1117065000,서울특별시 용산구 이태원1동,2021,91,0,0,72397
1117065000,서울특별시 용산구 이태원1동,2022,12,0,0,3956
1117065000,서울특별시 용산구 이태원1동,2023,19,0,1,30747
1117065000,서울특별시 용산구 이태원1동,2024,13,0,0,5355
1117066000,서울특별시 용산구 이태원2동,2021,44,0,0,56300
1117066000,서울특별시 용산구 이태원2동,2022,9,0,3,29269
1117066000,서울특별시 용산구 이태원2동,2023,7,0,0,32549
1117066000,서울특별시 용산구 이태원2동,2024,8,0,0,2118
1117068500,서울특별시 용산구 한남동,2021,147,0,2,319770
1117068500,서울특별시 용산구 한남동,2022,31,0,0,38320
1117068500,서울특별시 용산구 한남동,2023,27,0,0,10042
1117068500,서울특별시 용산구 한남동,2024,17,0,0,35672
1117069000,서울특별시 용산구 서빙고동,2021,38,0,0,56360
1117069000,서울특별시 용산구 서빙고동,2022,10,0,0,21621
1117069000,서울특별시 용산구 서빙고동,2023,9,0,1,6881
1117069000,서울특별시 용산구 서빙고동,2024,10,0,0,2286
1117070000,서울특별시 용산구 보광동,2021,63,0,3,62052
1117070000,서울특별시 용산구 보광동,2022,19,0,0,7968
1117070000,서울특별시 용산구 보광동,2023,18,0,0,23057
1117070000,서울특별시 용산구 보광동,2024,5,0,1,16615
1120052000,서울특별시 성동구 왕십리2동,2021,29,0,0,48434
1120052000,서울특별시 성동구 왕십리2동,2022,8,0,0,2234
1120052000,서울특별시 성동구 왕십리2동,2023,6,0,0,55505
1120052000,서울특별시 성동구 왕십리2동,2024,3,0,0,492
1120053500,서울특별시 성동구 왕십리도선동,2021,48,0,0,100521
1120053500,서울특별시 성동구 왕십리도선동,2022,17,0,0,5820
1120053500,서울특별시 성동구 왕십리도선동,2023,15,0,0,5916
1120053500,서울특별시 성동구 왕십리도선동,2024,11,0,0,39962
1120054000,서울특별시 성동구 마장동,2021,91,0,5,597155
1120054000,서울특별시 성동구 마장동,2022,24,0,3,488585
1120054000,서울특별시 성동구 마장동,2023,16,0,0,233393
1120054000,서울특별시 성동구 마장동,2024,19,0,1,82577
1120055000,서울특별시 성동구 사근동,2021,84,0,6,110397
1120055000,서울특별시 성동구 사근동,2022,18,0,0,3675
1120055000,서울특별시 성동구 사근동,2023,18,0,0,9511
1120055000,서울특별시 성동구 사근동,2024,12,0,0,11354
1120056000,서울특별시 성동구 행당1동,2021,52,0,1,64025
1120056000,서울특별시 성동구 행당1동,2022,12,0,0,2521
1120056000,서울특별시 성동구 행당1동,2023,11,0,0,2131
1120056000,서울특별시 성동구 행당1동,2024,13,0,1,1924
1120057000,서울특별시 성동구 행당2동,2021,23,0,2,45717
1120057000,서울특별시 성동구 행당2동,2022,2,0,0,3708
1120057000,서울특별시 성동구 행당2동,2023,3,0,0,660
1120057000,서울특별시 성동구 행당2동,2024,3,0,0,70
1120058000,서울특별시 성동구 응봉동,2021,25,0,3,86027
1120058000,서울특별시 성동구 응봉동,2022,6,0,0,344
1120058000,서울특별시 성동구 응봉동,2023,2,0,0,706
1120058000,서울특별시 성동구 응봉동,2024,7,0,0,20935
1120059000,서울특별시 성동구 금호1가동,2021,16,0,0,15755
1120059000,서울특별시 성동구 금호1가동,2022,3,0,0,1375
1120059000,서울특별시 성동구 금호1가동,2023,2,0,0,179
1120059000,서울특별시 성동구 금호1가동,2024,1,0,0,308
1120061500,서울특별시 성동구 금호2·3가동,2021,54,0,4,220745
1120061500,서울특별시 성동구 금호2·3가동,2022,9,0,0,1246
1120061500,서울특별시 성동구 금호2·3가동,2023,11,0,0,2621
1120061500,서울특별시 성동구 금호2·3가동,2024,6,0,0,5848
1120062000,서울특별시 성동구 금호4가동,2021,26,1,0,59394
1120062000,서울특별시 성동구 금호4가동,2022,5,0,0,373
1120062000,서울특별시 성동구 금호4가동,2024,5,0,0,466
1120064500,서울특별시 성동구 옥수동,2021,37,0,0,88214
1120064500,서울특별시 성동구 옥수동,2022,8,0,0,4363
1120064500,서울특별시 성동구 옥수동,2023,14,0,0,1642
1120064500,서울특별시 성동구 옥수동,2024,11,0,0,21107
1120065000,서울특별시 성동구 성수1가1동,2021,76,2,5,142578
1120065000,서울특별시 성동구 성수1가1동,2022,11,0,1,1429
1120065000,서울특별시 성동구 성수1가1동,2023,12,0,0,21782
1120065000,서울특별시 성동구 성수1가1동,2024,11,0,4,13175
1120066000,서울특별시 성동구 성수1가2동,2021,67,0,3,114994
1120066000,서울특별시 성동구 성수1가2동,2022,21,1,0,17177
1120066000,서울특별시 성동구 성수1가2동,2023,17,0,0,7061
1120066000,서울특별시 성동구 성수1가2동,2024,14,1,1,117842
1120067000,서울특별시 성동구 성수2가1동,2021,88,0,3,278022
1120067000,서울특별시 성동구 성수2가1동,2022,25,0,0,454596
1120067000,서울특별시 성동구 성수2가1동,2023,19,0,1,11311
1120067000,서울특별시 성동구 성수2가1동,2024,9,0,1,1745
1120069000,서울특별시 성동구 성수2가3동,2021,118,0,2,681339
1120069000,서울특별시 성동구 성수2가3동,2022,21,0,0,8965
1120069000,서울특별시 성동구 성수2가3동,2023,27,0,1,166960
1120069000,서울특별시 성동구 성수2가3동,2024,21,0,0,38165
1120072000,서울특별시 성동구 송정동,2021,22,0,0,51373
1120072000,서울특별시 성동구 송정동,2022,11,0,0,3774
1120072000,서울특별시 성동구 송정동,2023,3,0,0,39
1120072000,서울특별시 성동구 송정동,2024,9,0,0,34564
1120079000,서울특별시 성동구 용답동,2021,83,0,2,153847
1120079000,서울특별시 성동구 용답동,2022,14,0,6,85398
1120079000,서울특별시 성동구 용답동,2023,21,0,1,12239
1120079000,서울특별시 성동구 용답동,2024,17,0,1,40564
1121571000,서울특별시 광진구 화양동,2021,143,0,3,310886
1121571000,서울특별시 광진구 화양동,2022,16,0,0,20650
1121571000,서울특별시 광진구 화양동,2023,40,0,0,17404
1121571000,서울특별시 광진구 화양동,2024,31,0,1,47433
1121573000,서울특별시 광진구 군자동,2021,68,0,4,113330
1121573000,서울특별시 광진구 군자동,2022,10,0,2,25534
1121573000,서울특별시 광진구 군자동,2023,10,0,0,16920
1121573000,서울특별시 광진구 군자동,2024,8,0,1,1128
1121574000,서울특별시 광진구 중곡1동,2021,33,0,0,359073
1121574000,서울특별시 광진구 중곡1동,2022,13,0,2,99323
