adm_cd,adm_nm,cntr_dist_avg,cntr_dist_median,dispatch_delay_avg,dispatch_delay_median,fire_count_raw,death_cnt,injury_cnt
1165066000,서울특별시 서초구 내곡동,4.044927536231884,4.0,6.170772946859904,5.55,69,0,5
1162074500,서울특별시 관악구 삼성동,3.510958904109589,3.0,5.581018518518518,4.983333333333333,73,0,3
1159063000,서울특별시 동작구 사당2동,3.481512605042017,3.0,5.298039215686274,4.85,119,1,6
1162063000,서울특별시 관악구 남현동,3.4554347826086955,4.0,5.265398550724638,4.591666666666667,92,1,4
1165057000,서울특별시 서초구 반포2동,3.3125,2.0,4.064666666666667,4.0,26,0,2
1150062000,서울특별시 강서구 공항동,3.28411214953271,3.0,5.557339449541284,4.433333333333334,109,0,11
1171064700,서울특별시 송파구 위례동,3.1816326530612247,3.0,4.858503401360544,4.833333333333333,49,0,0
1165054000,서울특별시 서초구 잠원동,3.1316326530612244,3.0,5.251530612244898,4.941666666666666,98,0,8
1174051500,서울특별시 강동구 강일동,3.067142857142857,3.0,5.699999999999999,4.966666666666667,72,1,6
1150057000,서울특별시 강서구 화곡4동,3.0208333333333335,3.0,6.193518518518519,5.0,72,3,5
1165065100,서울특별시 서초구 양재1동,3.0007407407407407,3.0,5.29358024691358,4.483333333333333,135,0,8
1171051000,서울특별시 송파구 풍납1동,2.948717948717949,3.0,3.81965811965812,3.7,39,2,2
1171056200,서울특별시 송파구 방이2동,2.9411042944785275,3.0,4.616053169734151,4.666666666666667,163,0,12
1120079000,서울특별시 성동구 용답동,2.9135593220338984,3.0,4.025498575498576,4.0,118,0,9
1171069000,서울특별시 송파구 잠실4동,2.911111111111111,3.0,4.712745098039215,4.5,18,0,0
1111057000,서울특별시 종로구 무악동,2.873076923076923,3.0,5.22948717948718,5.133333333333333,26,0,0
1153080000,서울특별시 구로구 항동,2.87,3.0,5.525833333333333,4.991666666666667,20,0,1
1162073500,서울특별시 관악구 대학동,2.7507246376811594,2.8499999999999996,4.923550724637681,4.591666666666667,138,2,5
1168067500,서울특별시 강남구 개포3동,2.75,3.0,4.724404761904762,4.7,28,0,2
1165058000,서울특별시 서초구 반포3동,2.7370370370370374,2.8,4.87939393939394,4.8,55,0,0
1168067000,서울특별시 강남구 개포2동,2.720833333333333,3.0,5.014236111111111,4.65,48,0,0
1171064600,서울특별시 송파구 장지동,2.7125,2.5,4.600378787878788,4.533333333333333,88,2,5
1150060300,서울특별시 강서구 가양1동,2.7040935672514617,2.4,4.1533138401559455,4.0,171,1,16
1174056000,서울특별시 강동구 고덕2동,2.6955555555555555,2.0,4.378030303030303,4.016666666666667,45,1,0
1174052600,서울특별시 강동구 상일제2동,2.67,2.65,5.172777777777778,5.191666666666666,30,0,0
1162062500,서울특별시 관악구 인헌동,2.662025316455696,2.8,5.035021097046413,4.866666666666667,79,0,3
1159060500,서울특별시 동작구 흑석동,2.626470588235294,2.6500000000000004,4.974257425742574,4.766666666666667,102,1,9
