adm_cd,adm_nm,risk_class,risk_index,hotspot_rank,lat,lon,fire_count
1168075000,서울특별시 강남구 수서동,잠재 위험,32.67,2,37.488463446923085,127.10354823846153,13
1168075000,서울특별시 강남구 수서동,잠재 위험,32.67,3,37.48697428333333,127.09816308333332,6
1120057000,서울특별시 성동구 행당2동,잠재 위험,32.58,1,37.55648397647059,127.02953522941176,17
1120057000,서울특별시 성동구 행당2동,잠재 위험,32.58,2,37.55968292,127.03004082,5
1120057000,서울특별시 성동구 행당2동,잠재 위험,32.58,3,37.554132851999995,127.03204366,5
1168067000,서울특별시 강남구 개포2동,잠재 위험,32.27,1,37.48357022894737,127.06202334210529,19
1168067000,서울특별시 강남구 개포2동,잠재 위험,32.27,2,37.48846639375,127.06756541250002,16
1168067000,서울특별시 강남구 개포2동,잠재 위험,32.27,3,37.484894535,127.07005174999999,6
1171072000,서울특별시 송파구 잠실7동,잠재 위험,28.78,1,37.507127260000004,127.07328774,5
1171072000,서울특별시 송파구 잠실7동,잠재 위험,28.78,2,37.508562633333334,127.07169866666668,3
1147067000,서울특별시 양천구 신정6동,잠재 위험,27.56,1,37.52128716533333,126.86907443333334,15
1147067000,서울특별시 양천구 신정6동,잠재 위험,27.56,2,37.51667569999999,126.86973975,4
1147067000,서울특별시 양천구 신정6동,잠재 위험,27.56,3,37.5145342,126.86545805,2
