WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,GFA,BTTM_AREA,BLDG_STTS_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,OCRN_YR,SEASN_NM,QTR_NO,OCRN_YMD,OCRN_TM,OCRN_MM,OCRN_DAY,OCRN_HR,OCRN_MN,DCLR_DOW,FRSTN_NM,CNTR_NM,LFDAU_NM,DSPT_REQ_TM,FIRE_SUPESN_REQ_TM,GRNDS_CTPV_NM,GRNDS_SGG_NM,CTY_FRMVL_SE_NM,DAMG_RGN_LOT,DAMG_RGN_LAT,GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_LCLSF_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_JOIN_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,EMRG_CNTRL_YN,IGTN_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_FIRE_IGTN_BRNCH_NM,HR_UNIT_ARTMP,HR_UNIT_RN,HR_UNIT_WSPD,HR_UNIT_WNDRCT,HR_UNIT_HUM,HR_UNIT_SNWFL,HR_UNIT_VSDST
230101054207011,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,8,0,989.3,146.69,사용중,0,0,0,5,2023,겨울,1,20230101,043600,01,01,04,36,일요일,금천소방서,금천119안전센터,,000300,000600,서울특별시,금천구,도시,126.8924076,37.46793995,0.8,0.8,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,판매/업무시설,숙박시설,기타 숙박시설,1.0,0.0,N,Y,N,N,,,,,1.5,,1.0,290.0,74,,709
230101130808916,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3,1,1146.0,263.0,사용중,0,0,0,11,2023,겨울,1,20230101,092100,01,01,09,21,일요일,송파소방서,종합운동장119안전센터,,000256,000812,서울특별시,송파구,도시,127.0777471,37.504181,4.5,2.0,0.0,작동기기,전기적 아크(단락),전기적 요인,접촉불량에 의한 단락,전기/전자,콘센트/ 스위치류,배선/배선기구,스위치 멀티탭,,,집합시설,종교시설,교회,-1.0,0.0,N,Y,N,N,,,,,-1.7,,2.0,290.0,75,,763
230101143250874,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,5,1,2881.19,1088.16,사용중,0,0,0,9454,2023,겨울,1,20230101,102800,01,01,10,28,일요일,강동소방서,천호119안전센터,,000208,002913,서울특별시,강동구,도시,127.1239758,37.54197163,1.8,1.4,0.0,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,작동장치(모터/ 히터/ 램프 등),계절용 기기,전기히터/스토브,,,집합시설,운동시설,골프연습장,2.0,60.0,N,Y,N,N,,,,,-0.4,,2.0,270.0,66,,938
230101124354784,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,36,7,239252.0,2314.7,사용중,0,0,0,2719,2023,겨울,1,20230101,103600,01,01,10,36,일요일,강남소방서,역삼119안전센터,,000249,000911,서울특별시,강남구,도시,127.0415371,37.50283441,2.4,0.9,0.0,담뱃불/ 라이터불,라이터불/ 성냥불,방화의심,방화의심,기타,기타,,,침구/직물류,이불(베개/시트),판매/업무시설,숙박시설,호텔,29.0,10.0,N,Y,N,N,,,,,-0.4,,2.0,270.0,66,,938
230101143911439,기타(쓰레기 화재등),,,,,,,,,,0,0,0,5,2023,겨울,1,20230101,122700,01,01,12,27,일요일,강동소방서,천호119안전센터,,000108,000459,서울특별시,강동구,도시,127.1291218,37.54601281,2.6,1.8,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,기타,야외,쓰레기,,1.0,N,N,N,N,,,,,2.0,,2.0,290.0,54,,1051
230101201439009,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3,1,356.52,86.01,사용중,0,0,0,486,2023,겨울,1,20230101,130200,01,01,13,02,일요일,노원소방서,월계119안전센터,,000300,000000,서울특별시,노원구,도시,127.0641376,37.61650536,3.2,1.9,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,가연물 근접방치,종이/목재/건초등,기타(종이/목재/건초등),,,,,생활서비스,음식점,한식,1.0,0.0,N,N,N,N,,,,,3.0,,3.0,270.0,45,,1331
230101194930483,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,15,0,10575.6,59.65,사용중,0,1,1,3505,2023,겨울,1,20230101,142800,01,01,14,28,일요일,양천소방서,양천119안전센터,,000343,002500,서울특별시,양천구,도시,126.8747488,37.51960667,1.7,1.7,0.0,미상,미상,미상,미상,침구/직물류,이불(베개/시트),,,,,주거,공동주택,아파트,9.0,0.0,N,N,N,N,,,,,3.8,,3.0,250.0,38,,1844
230101204058651,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3,1,299.01,83.7,사용중,0,0,0,6,2023,겨울,1,20230101,143000,01,01,14,30,일요일,중랑소방서,망우119안전센터,,000358,000357,서울특별시,중랑구,도시,127.0996906,37.59045819,3.7,1.0,0.6,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,쓰레기,,,,,주거,공동주택,다세대주택,1.0,0.0,N,N,N,N,,,,,3.8,,3.0,250.0,38,,1844
230101203108519,자동차/철도차량,,,,,,,,,,0,0,0,50,2023,겨울,1,20230101,145800,01,01,14,58,일요일,노원소방서,상계119안전센터,,000400,000000,서울특별시,노원구,도시,127.0764847,37.66762106,3.7,1.6,0.0,마찰/ 전도/ 복사,마찰열/마찰 스파크,기타,기타,자동차/철도차량/선박/항공기,부품,차량/ 선박부품,팬벨트,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,기타차량위치,,,3.8,,3.0,250.0,38,,1844
230101170237242,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,3,1,1026.05,204.44,사용중,0,0,0,51,2023,겨울,1,20230101,150200,01,01,15,02,일요일,동작소방서,백운119안전센터,,000312,000049,서울특별시,동작구,도시,126.9532605,37.49318623,5.4,1.0,0.0,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,합성수지,기타(합성수지),,,,,생활서비스,오락시설,멀티미디어콘텐츠,2.0,0.0,N,Y,N,N,,,,,3.1,,3.0,270.0,37,,2000
