WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,GFA,BTTM_AREA,BLDG_STTS_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,OCRN_YR,SEASN_NM,QTR_NO,OCRN_YMD,OCRN_TM,OCRN_MM,OCRN_DAY,OCRN_HR,OCRN_MN,DCLR_DOW,FRSTN_NM,CNTR_NM,LFDAU_NM,DSPT_REQ_TM,FIRE_SUPESN_REQ_TM,GRNDS_CTPV_NM,GRNDS_SGG_NM,CTY_FRMVL_SE_NM,DAMG_RGN_LOT,DAMG_RGN_LAT,GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_LCLSF_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_JOIN_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,EMRG_CNTRL_YN,IGTN_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_FIRE_IGTN_BRNCH_NM,HR_UNIT_ARTMP,HR_UNIT_RN,HR_UNIT_WSPD,HR_UNIT_WNDRCT,HR_UNIT_HUM,HR_UNIT_SNWFL,HR_UNIT_VSDST
220101011323117,기타(쓰레기 화재등),,,,,,,,,,0,0,0,131,2022,겨울,1,20220101,002000,01,01,00,20,토요일,도봉소방서,방학119안전센터,,000255,000320,서울특별시,도봉구,도시,127.043059,37.654835,1.8,1.8,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,쓰레기류,재활용,,,,,기타,야외,공터,,2.0,N,N,N,N,,,,,-8.5,,1.9,320,41,,2000
220101072841528,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4,1,1214.0,275.0,사용중,0,0,0,248,2022,겨울,1,20220101,010000,01,01,01,00,토요일,강동소방서,강일119안전센터,,000300,000400,서울특별시,강동구,도시,127.168991,37.55743,7.0,1.2,0.0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,계절용 기기,열선,합성수지,플라스틱/ PVC/ 비닐/ 장판,판매/업무시설,일반업무,일반빌딩,,0.0,N,Y,N,N,,,,,-9.2,,1.8,270,42,,2000
220101084942081,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3,1,805.11,234.37,사용중,0,0,0,1727,2022,겨울,1,20220101,052700,01,01,05,27,토요일,노원소방서,공릉119안전센터,,000444,004126,서울특별시,노원구,도시,127.079561,37.62492,3.0,2.2,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,침구/직물류,이불(베개/시트),,,,,판매/업무시설,숙박시설,모텔,,8.0,N,N,N,N,,,,,-9.7,,0.8,270,51,,2000
220101094223698,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,2,1,307.64,0.0,사용중,0,0,0,268,2022,겨울,1,20220101,072400,01,01,07,24,토요일,종로소방서,신영119안전센터,,000751,000934,서울특별시,종로구,도시,126.973755,37.614072,8.4,2.3,0.0,미상,미상,미상,미상,종이/목재/건초등,목재/ 합판,,,,,주거,단독주택,단독주택,,1.0,N,N,N,N,,,,,-10.1,,1.9,50,55,,2000
220101090955661,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,17,5,12986.17,586.51,사용중,0,0,0,184,2022,겨울,1,20220101,074000,01,01,07,40,토요일,강남소방서,역삼119안전센터,,000447,000904,서울특별시,강남구,도시,127.032746,37.506684,3.6,1.8,0.0,작동기기,기기 전도/복사열/기기발열,부주의,불씨/불꽃/화원방치,침구/직물류,기타(침구/직물류),,,,,주거,공동주택,주상복합아파트,,1.0,N,Y,N,N,,,,,-10.1,,1.9,50,55,,2000
220101091405893,자동차/철도차량,,,,,,,,,,0,0,0,24750,2022,겨울,1,20220101,080600,01,01,08,06,토요일,서대문소방서,북가좌119안전센터,,000454,001855,서울특별시,서대문구,도시,126.919996,37.570682,2.0,2.0,0.0,미상,미상,미상,미상,미상,미상,,,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,N,일반도로,앞좌석,,,-10.2,,2.5,20,56,,2000
220101144737923,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,4,1,382.32,80.19,사용중,0,2,2,12448,2022,겨울,1,20220101,091600,01,01,09,16,토요일,중랑소방서,중화119안전센터,,000521,052147,서울특별시,중랑구,도시,127.090365,37.59555,3.5,2.1,0.0,미상,미상,미상,미상,미상,미상,,,,,판매/업무시설,숙박시설,모텔,지상층,65.0,N,N,N,N,,,,,-9.1,,2.1,50,56,,2000
220101121852391,건축/구조물,양식(옥),철근콘크리트조,슬라브가,,14,2,2044.22,128.92,사용중,0,0,0,485,2022,겨울,1,20220101,101200,01,01,10,12,토요일,은평소방서,진관119안전센터,,000300,002800,서울특별시,은평구,도시,126.930334,37.610544,1.4,1.4,0.0,작동기기,기기 전도/복사열/기기발열,기계적 요인,자동제어 실패,전기/전자,전자기기 부속품,계절용 기기,전기히터/스토브,,,의료/복지시설,의료시설,병원,,6.0,N,N,N,N,,,,,-6.8,,2.3,50,42,,2000
220101115827291,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,5,0,747.7,54.4,사용중,0,0,0,11,2022,겨울,1,20220101,103500,01,01,10,35,토요일,광진소방서,구의119안전센터,,000516,000905,서울특별시,광진구,도시,127.084157,37.528769,2.3,2.3,0.0,담뱃불/ 라이터불,담뱃불,부주의,음식물 조리중,식품,음식물,,,,,주거,공동주택,다세대주택,,0.0,N,N,N,N,,,,,-6.8,,2.3,50,42,,2000
220101152312859,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,15,1,171516.22,16066.9,사용중,0,0,0,22,2022,겨울,1,20220101,104300,01,01,10,43,토요일,양천소방서,신트리119안전센터,,000338,000000,서울특별시,양천구,도시,126.865214,37.510999,2.8,1.5,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,기타,기타,,,,,주거,공동주택,아파트,,0.0,N,N,N,N,,,,,-6.8,,2.3,50,42,,2000
