WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,GFA,BTTM_AREA,BLDG_STTS_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,OCRN_YR,SEASN_NM,QTR_NO,OCRN_YMD,OCRN_TM,OCRN_MM,OCRN_DAY,OCRN_HR,OCRN_MN,DCLR_DOW,FRSTN_NM,CNTR_NM,LFDAU_NM,DSPT_REQ_TM,FIRE_SUPESN_REQ_TM,GRNDS_CTPV_NM,GRNDS_SGG_NM,CTY_FRMVL_SE_NM,DAMG_RGN_LOT,DAMG_RGN_LAT,GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_LCLSF_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_JOIN_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,EMRG_CNTRL_YN,IGTN_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_FIRE_IGTN_BRNCH_NM,HR_UNIT_ARTMP,HR_UNIT_RN,HR_UNIT_WSPD,HR_UNIT_WNDRCT,HR_UNIT_HUM,HR_UNIT_SNWFL,HR_UNIT_VSDST
170101044118025,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6,1,1133.0,168.0,사용중,0,0,0,13391,2017,겨울,1,20170101,000000,01,01,00,00,일요일,강남소방서,영동119안전센터,영동119안전센터,000629,001500,서울특별시,강남구,도시,,,4.0,3.0,0.0,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,전선피복,,,미상,미상,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),3.0,40.0,N,Y,N,,,,,,0.2,,2.2,20.0,79.0,,491
170101044947860,건축/구조물,양식(옥),치장벽돌조,슬라브가,1.0,2,1,248.0,81.0,사용중,0,0,0,971,2017,겨울,1,20170101,033200,01,01,03,32,일요일,마포소방서,서교119안전센터,서교119안전센터,000500,000758,서울특별시,마포구,도시,,,1.0,2.0,0.0,미상(발화원인),미상,미상,미상,미상,미상,,,,,주거,단독주택,단독주택,-1.0,2.0,N,N,N,,,,,,-0.7,,2.0,50.0,84.0,,436
170102110954553,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3,1,1175.0,490.0,신축,0,0,0,3669,2017,겨울,1,20170101,034200,01,01,03,42,일요일,강서소방서,방화119안전센터,방화119안전센터,000606,001835,서울특별시,강서구,도시,,,2.0,4.0,0.0,불꽃/ 불티,모닥불/ 연탄/ 숯,부주의,불씨/불꽃/화원방치,종이/목재/건초등,목재/ 합판,,,,,주거,공동주택,기타 공동주택,2.0,12.0,N,Y,N,,,,,,-0.7,,2.0,50.0,84.0,,436
170101162928231,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,12,1,8989.0,816.0,사용중,0,0,0,374,2017,겨울,1,20170101,124300,01,01,12,43,일요일,강동소방서,성내119안전센터,성내119안전센터,000100,000707,서울특별시,강동구,도시,,,1.0,1.0,0.0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,전기/전자,전기/ 전자기기 기판,주방기기,김치냉장고,,,주거,공동주택,아파트,11.0,3.0,N,Y,N,,,,,,4.0,,1.3,50.0,69.0,,433
170101140310046,기타(쓰레기 화재등),,,,,,,,,,0,0,0,0,2017,겨울,1,20170101,125700,01,01,12,57,일요일,강북소방서,우이119안전센터,우이119안전센터,000740,000000,서울특별시,강북구,도시,,,5.0,3.0,0.0,불꽃/ 불티,굴뚝(연통) 아궁이,기계적 요인,정비불량,종이/목재/건초등,풀/ 나뭇잎,,,,,기타,야외,기타야외,,,N,N,N,,,,,,4.0,,1.3,50.0,69.0,,433
170101171947273,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,15,1,8074.0,529.0,사용중,0,0,0,30,2017,겨울,1,20170101,140000,01,01,14,00,일요일,양천소방서,목동119안전센터,목동119안전센터,000423,000000,서울특별시,양천구,도시,,,3.0,1.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,침구/직물류,기타(침구/직물류),,,,,주거,공동주택,아파트,3.0,0.0,N,Y,N,,,,,,6.7,,0.7,340.0,61.0,,442
170101161152041,자동차/철도차량,,,,,,,,,,0,0,0,2200,2017,겨울,1,20170101,144700,01,01,14,47,일요일,강서소방서,발산119안전센터,발산119안전센터,000439,000500,서울특별시,강서구,도시,,,6.0,3.0,0.0,작동기기,기타(작동기기),기계적 요인,노후,위험물등,기타(위험물등),차량/ 선박부품,엔진,,,자동차/철도차량,자동차,승용자동차,,,N,N,N,,일반도로,엔진룸,,,6.7,,0.7,340.0,61.0,,442
170101165304462,건축/구조물,기타 식,샌드위치패널조,슬라브가,1.0,1,0,20.0,20.0,사용중,0,0,0,50,2017,겨울,1,20170101,155800,01,01,15,58,일요일,서초소방서,잠원119안전센터,잠원119안전센터,000533,000035,서울특별시,서초구,도시,,,4.0,3.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,주거,단독주택,단독주택,1.0,0.0,N,N,N,,,,,,6.9,,0.9,230.0,65.0,,471
170101182442204,자동차/철도차량,,,,,,,,,,0,0,0,715,2017,겨울,1,20170101,161700,01,01,16,17,일요일,송파소방서,종합운동장119안전센터,종합운동장119안전센터,000304,000000,서울특별시,송파구,도시,,,7.0,2.0,0.0,작동기기,전기적 아크(단락),전기적 요인,절연열화에 의한 단락,전기/전자,전선피복,차량/ 선박부품,기타(차량/선박부품),,,자동차/철도차량,자동차,승용자동차,,,N,N,N,,일반도로,기타차량위치,,,6.8,,1.2,230.0,67.0,,491
170101183045891,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6,1,1470.0,197.0,사용중,0,0,0,107,2017,겨울,1,20170101,164900,01,01,16,49,일요일,송파소방서,마천119안전센터,마천119안전센터,000444,001800,서울특별시,송파구,도시,,,3.0,3.0,0.0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,전기/전자,콘센트/ 스위치류,배선/배선기구,콘센트,,,생활서비스,일상서비스,고시원업,5.0,1.0,Y,Y,Y,,,,,,6.8,,1.2,230.0,67.0,,491
